Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
5:1,זֶה,zeh,H2089,a sheep,,noun
5:1,סֵפֶר,sfr,,,,
5:1,תּוֹלְדֹת,toledot,H8435,generations,వంశావళి,noun
5:1,אָדָם,adam,H120,"man, Adam",మనుష్యుడు,noun
5:1,בְּיוֹם,yom,H3117,day,దినము,noun
5:1,בְּרֹא,vr',,,,
5:1,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
5:1,אָדָם,adam,H120,"man, Adam",మనుష్యుడు,noun
5:1,בִּדְמוּת,dmvt,H1823,like,,noun
5:1,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
5:1,עָשָׂה,'ashah,H6213,in the broadest sense and widest application,విస్తృతమైన అర్థంలో మరియు విస్తృతమైన అప్లికేషన్ (క్రింది విధంగా),verb
5:1,אֹתוֹ,'tv,,,,
5:2,זָכָר,zakar,H2145,male,పురుషుడు,adjective
5:2,וּנְקֵבָה,neqevah,H5347,female,స్త్రీ,noun
5:2,בְּרָאָם,ra'am,H7213,to rise,,verb
5:2,וַיְבָרֶךְ,vayvarekh,H1288,and blessed,ఆశీర్వదించెను,verb
5:2,אֹתָם,'tm,,,,
5:2,וַיִּקְרָא,vyqr',,,,
5:2,אֶת,'t,,,,
5:2,שְׁמָם,shmm,,,,
5:2,אָדָם,adam,H120,"man, Adam",మనుష్యుడు,noun
5:2,בְּיוֹם,yom,H3117,day,దినము,noun
5:2,הִבָּרְאָם,ra'am,H7213,to rise,,verb
5:2,ס,s,,,,
5:3,וַיְחִי,vayechi,H2421,and he lived,జీవించెను,verb
5:3,אָדָם,adam,H120,"man, Adam",మనుష్యుడు,noun
5:3,שְׁלֹשִׁים,sim,H7760,"put, place",పెట్టు,verb
5:3,וּמְאַת,meet,H854,from,నుండి,preposition
5:3,שָׁנָה,shanah,H8138,transitive or intransitive) to transmute,,verb
5:3,וַיּוֹלֶד,vayyoled,H3205,and begot,కనెను,verb
5:3,בִּדְמוּתוֹ,vdmvtv,,,,
5:3,כְּצַלְמוֹ,khtslmv,,,,
5:3,וַיִּקְרָא,vyqr',,,,
5:3,אֶת,'t,,,,
5:3,שְׁמוֹ,shmv,,,,
5:3,שֵׁת,shet,H8352,Sheth,,noun proper
5:4,וַיִּהְיוּ,yihyu,H1961,let them be,అగుదురుగాక,verb
5:4,יְמֵי,yemei,H3117,days of,దినములు,noun
5:4,אָדָם,adam,H120,"man, Adam",మనుష్యుడు,noun
5:4,אַחֲרֵי,acharey,H310,after,తరువాత,verb
5:4,הוֹלִידוֹ,hvlydv,,,,
5:4,אֶת,'t,,,,
5:4,שֵׁת,shet,H8352,Sheth,,noun proper
5:4,שְׁמֹנֶה,manah,H4490,of food) a ration,,noun
5:4,מֵאֹת,et,H853,(object marker),-,particle unrepresented in English
5:4,שָׁנָה,shanah,H8138,transitive or intransitive) to transmute,,verb
5:4,וַיּוֹלֶד,vayyoled,H3205,and begot,కనెను,verb
5:4,בָּנִים,vnym,,,,
5:4,וּבָנוֹת,banot,H1323,daughters,కమరతల,noun
5:5,וַיִּהְיוּ,yihyu,H1961,let them be,అగుదురుగాక,verb
5:5,כָּל,khl,,,,
5:5,יְמֵי,yemei,H3117,days of,దినములు,noun
5:5,אָדָם,adam,H120,"man, Adam",మనుష్యుడు,noun
5:5,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
5:5,חַי,chay,H2416,"alive, living",జీవించు,adjective
5:5,תְּשַׁע,tsh',,,,
5:5,מֵאוֹת,'vt,H225,to come,,verb
5:5,שָׁנָה,shanah,H8138,transitive or intransitive) to transmute,,verb
5:5,וּשְׁלֹשִׁים,sheloshim,H7970,thirty,ముప్ఫై,noun
5:5,שָׁנָה,shanah,H8138,transitive or intransitive) to transmute,,verb
5:5,וַיָּמֹת,vymt,,,,
5:5,ס,s,,,,
5:6,וַיְחִי,vayechi,H2421,and he lived,జీవించెను,verb
5:6,שֵׁת,shet,H8352,Sheth,,noun proper
5:6,חָמֵשׁ,chamesh,H2568,five,అయిదు,noun
5:6,שָׁנִים,shnym,,,,
5:6,וּמְאַת,meet,H854,from,నుండి,preposition
5:6,שָׁנָה,shanah,H8138,transitive or intransitive) to transmute,,verb
5:6,וַיּוֹלֶד,vayyoled,H3205,and begot,కనెను,verb
5:6,אֶת,'t,,,,
5:6,אֱנוֹשׁ,Enosh,H583,Enosh,ఎనోషు,noun proper
5:7,וַיְחִי,vayechi,H2421,and he lived,జీవించెను,verb
5:7,שֵׁת,shet,H8352,Sheth,,noun proper
5:7,אַחֲרֵי,acharey,H310,after,తరువాత,verb
5:7,הוֹלִידוֹ,hvlydv,,,,
5:7,אֶת,'t,,,,
5:7,אֱנוֹשׁ,Enosh,H583,Enosh,ఎనోషు,noun proper
5:7,שֶׁבַע,sheba',H7652,the name of a place in Israel,,noun location
