Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
4:1,וְהָאָדָם,ha'adam,H120,"the man, Adam",ఆదాము,noun
4:1,יָדַע,yada,H3045,know,తెలియు,verb
4:1,אֶת,'t,,,,
4:1,חַוָּה,chavah,H2333,i.e. living-place)],,noun
4:1,אִשְׁתּוֹ,'shtv,,,,
4:1,וַתַּהַר,vthr,,,,
4:1,וַתֵּלֶד,vtld,,,,
4:1,אֶת,'t,,,,
4:1,קַיִן,Qayin,H7014,Cain,కయీను,noun proper
4:1,וַתֹּאמֶר,tomar,H559,you/she will say,చపపన,verb
4:1,קָנִיתִי,qnyty,,,,
4:1,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
4:1,אֶת,'t,,,,
4:1,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
4:2,וַתֹּסֶף,vtsf,,,,
4:2,לָלֶדֶת,dat,H1881,commission,,noun
4:2,אֶת,'t,,,,
4:2,אָחִיו,'chyv,,,,
4:2,אֶת,'t,,,,
4:2,הָבֶל,bal,H1077,adverb) not at all,,verb
4:2,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
4:2,הֶבֶל,Hevel,H1893,Abel,హేబెలు,noun proper
4:2,רֹעֵה,r'h,,,,
4:2,צֹאן,tson,H6629,"flock, sheep",మేకలు,noun
4:2,וְקַיִן,Qayin,H7014,Cain,కయీను,noun proper
4:2,הָיָה,hayah,H1961,"be, become",ఉండు,verb
4:2,עֹבֵד,'vd,,,,
4:2,אֲדָמָה,adamah,H127,"ground, soil",నేల,noun
4:3,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
4:3,מִקֵּץ,qets,H7093,border,,noun
4:3,יָמִים,yamim,H3117,days,దినములు,noun
4:3,וַיָּבֵא,yavo,H935,he will come,అతడ వచచన,verb
4:3,קַיִן,Qayin,H7014,Cain,కయీను,noun proper
4:3,מִפְּרִי,priy,H6529,) fruit),,noun
4:3,הָאֲדָמָה,haadamah,H127,the ground,ఆ నేల,noun
4:3,מִנְחָה,minchah,H4503,"offering, gift",అర్పణ,noun
4:3,לַיהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
4:4,וְהֶבֶל,habal,H1891,specifically to lead astray,,verb
4:4,הֵבִיא,hvy',,,,
4:4,גַם,gm,,,,
4:4,הוּא,hv',,,,
4:4,מִבְּכֹרוֹת,mvkhrvt,,,,
4:4,צֹאנוֹ,ts'nv,,,,
4:4,וּמֵחֶלְבֵהֶן,vmchlvhn,,,,
4:4,וַיִּשַׁע,yasha',H3467,to be safe,,verb
4:4,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
4:4,אֶל,el,H413,"to, toward",వైపు,preposition
4:4,הֶבֶל,Hevel,H1893,Abel,హేబెలు,noun proper
4:4,וְאֶל,al,H408,not (imperative),వద్దు,verb
4:4,מִנְחָתוֹ,mnchtv,,,,
4:5,וְאֶל,al,H408,not (imperative),వద్దు,verb
4:5,קַיִן,Qayin,H7014,Cain,కయీను,noun proper
4:5,וְאֶל,al,H408,not (imperative),వద్దు,verb
4:5,מִנְחָתוֹ,mnchtv,,,,
4:5,לֹא,lo,H3808,not,కాదు,verb
4:5,שָׁעָה,sha'ah,H8159,consider,,verb
4:5,וַיִּחַר,yachar,H3186,to delay,,verb
4:5,לְקַיִן,Qayin,H7014,Cain,కయీను,noun proper
4:5,מְאֹד,meod,H3966,"very, exceedingly",మిక్కిలి,adjective
4:5,וַיִּפְּלוּ,vyflv,,,,
4:5,פָּנָיו,fnyv,,,,
4:6,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
4:6,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
4:6,אֶל,el,H413,"to, toward",వైపు,preposition
4:6,קָיִן,qyn,,,,
4:6,לָמָּה,mah,H4100,what?,ఏమి?,interrogative
4:6,חָרָה,charah,H2734,burn (anger),కోపము మండు,verb
4:6,לָךְ,lkh,,,,
4:6,וְלָמָּה,lamah,H4100,why?,ఎందుకు?,interrogative
4:6,נָפְלוּ,nflv,,,,
4:6,פָנֶיךָ,fnykh,,,,
4:7,הֲלוֹא,halo,H3808,is it not?,కాదా?,verb
4:7,אִם,im,H518,if,అయితే,particle
4:7,תֵּיטִיב,tytyv,,,,
4:7,שְׂאֵת,sh'et,H7613,dignity,,noun
4:7,וְאִם,em,H517,mother,తల్లి,noun
4:7,לֹא,lo,H3808,not,కాదు,verb
4:7,תֵיטִיב,tytyv,,,,
4:7,לַפֶּתַח,patach,H6605,to loosen,,verb
4:7,חַטָּאת,cht't,,,,
4:7,רֹבֵץ,rvts,,,,
4:7,וְאֵלֶיךָ,v'lykh,,,,
4:7,תְּשׁוּקָתוֹ,tshvqtv,,,,
4:7,וְאַתָּה,otah,H853,her,ఆమన,particle unrepresented in English
4:7,תִּמְשָׁל,tmshl,,,,
4:7,בּוֹ,vv,,,,
4:8,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
4:8,קַיִן,Qayin,H7014,Cain,కయీను,noun proper
4:8,אֶל,el,H413,"to, toward",వైపు,preposition
4:8,הֶבֶל,Hevel,H1893,Abel,హేబెలు,noun proper
4:8,אָחִיו,'chyv,,,,
4:8,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
4:8,בִּהְיוֹתָם,yvotam,H3147,the name of three Israelites,,noun proper
4:8,בַּשָּׂדֶה,shidah,H7705,musical instrument.,,noun
4:8,וַיָּקָם,vyqm,,,,
4:8,קַיִן,Qayin,H7014,Cain,కయీను,noun proper
4:8,אֶל,el,H413,"to, toward",వైపు,preposition
4:8,הֶבֶל,Hevel,H1893,Abel,హేబెలు,noun proper
4:8,אָחִיו,'chyv,,,,
4:8,וַיַּהַרְגֵהוּ,vyhrghv,,,,
4:9,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
4:9,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
