Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
45:1,וְלֹא,lo,H3808,not,కాదు,verb
45:1,יָכֹל,ykhl,,,,
45:1,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
45:1,לְהִתְאַפֵּק,lht'fq,,,,
45:1,לְכֹל,kol,H3605,"all, every",అంతయు,noun
45:1,הַנִּצָּבִים,hntsvym,,,,
45:1,עָלָיו,'lyv,,,,
45:1,וַיִּקְרָא,vyqr',,,,
45:1,הוֹצִיאוּ,hvtsy'v,,,,
45:1,כָל,khl,,,,
45:1,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
45:1,מֵעָלָי,'eliy,H5940,a pestle,,noun
45:1,וְלֹא,lo,H3808,not,కాదు,verb
45:1,עָמַד,amad,H5975,stand,నిలుచు,verb
45:1,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
45:2,וַיִּתֵּן,yitten,H5414,he will give,అతడ ఇచచన,verb
45:2,אֶת,'t,,,,
45:2,קֹלוֹ,qlv,,,,
45:2,בִּבְכִי,bkhiy,H1065,a dripping,,noun
45:2,וַיִּשְׁמְעוּ,vyshm'v,,,,
45:2,מִצְרַיִם,Mitsrayim,H4714,Mizraim,మిస్రాయిము,adjective
45:2,וַיִּשְׁמַע,yishma,H8085,he will hear,అతడ వనన,verb
45:2,בֵּית,vyt,,,,
45:2,פַּרְעֹה,fr'h,,,,
45:3,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
45:3,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
45:3,אֶל,el,H413,"to, toward",వైపు,preposition
45:3,אֶחָיו,'chyv,,,,
45:3,אֲנִי,'aniy,H589,me,,personal pronoun
45:3,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
45:3,הַעוֹד,'vd,H5749,to encompass,,verb
45:3,אָבִי,'vy,,,,
45:3,חָי,chy,,,,
45:3,וְלֹא,lo,H3808,not,కాదు,verb
45:3,יָכְלוּ,ykhlv,,,,
45:3,אֶחָיו,'chyv,,,,
45:3,לַעֲנוֹת,'envt,H6039,affliction,,noun
45:3,אֹתוֹ,'tv,,,,
45:3,כִּי,khiy,H3588,antecedent or consequent],,conjunction
45:4,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
45:4,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
45:4,אֶל,el,H413,"to, toward",వైపు,preposition
45:4,אֶחָיו,'chyv,,,,
45:4,גְּשׁוּ,gshv,,,,
45:4,נָא,na',H4995,i.e. uncooked,,adjective
45:4,אֵלַי,'ly,,,,
45:4,וַיִּגָּשׁוּ,vygshv,,,,
45:4,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
45:4,אֲנִי,'aniy,H589,me,,personal pronoun
45:4,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
45:4,אֲחִיכֶם,'chykhm,,,,
45:4,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
45:4,מְכַרְתֶּם,ratam,H7573,to yoke up,,verb
45:4,אֹתִי,'ty,,,,
45:5,וְעַתָּה,attah,H6258,now,ఇప్పుడు,verb
45:5,אַל,al,H408,not (imperative),వద్దు,verb
45:5,תֵּעָצְבוּ,t'tsvv,,,,
45:5,וְאַל,al,H408,not (imperative),వద్దు,verb
45:5,יִחַר,ychr,,,,
45:5,בְּעֵינֵיכֶם,v'ynykhm,,,,
