Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
39:1,וְיוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
39:1,הוּרַד,red,H3381,go down!,దగమ,verb
39:1,מִצְרָיְמָה,mtsrymh,,,,
39:1,וַיִּקְנֵהוּ,vyqnhv,,,,
39:1,פּוֹטִיפַר,Potifar,H6318,Potiphar,పోతీఫరు,noun proper
39:1,סְרִיס,srys,,,,
39:1,פַּרְעֹה,fr'h,,,,
39:1,שַׂר,shar,H8269,chief,,noun
39:1,הַטַּבָּחִים,htvchym,,,,
39:1,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
39:1,מִצְרִי,tsriy,H6874,an Israelite,,noun proper
39:1,מִיַּד,yad,H3027,hand,చేయి,noun
39:1,הַיִּשְׁמְעֵאלִים,hyshm''lym,,,,
39:1,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
39:1,הוֹרִדֻהוּ,hvrdhv,,,,
39:2,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
39:2,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
39:2,אֶת,'t,,,,
39:2,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
39:2,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
39:2,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
39:2,מַצְלִיחַ,mtslych,,,,
39:2,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
39:2,בְּבֵית,bayit,H1006,a place in Israel,,noun location
39:2,אֲדֹנָיו,'dnyv,,,,
39:2,הַמִּצְרִי,mitsriy,H4713,or inhabitant of Mitsrajim,,adjective
39:3,וַיַּרְא,yare,H3372,fear,భయపడు,verb
39:3,אֲדֹנָיו,'dnyv,,,,
39:3,כִּי,khiy,H3588,antecedent or consequent],,conjunction
39:3,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
39:3,אִתּוֹ,'tv,,,,
39:3,וְכֹל,kol,H3605,"all, every",అంతయు,noun
39:3,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
39:3,הוּא,hv',,,,
39:3,עֹשֶׂה,'shh,,,,
39:3,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
39:3,מַצְלִיחַ,mtslych,,,,
39:3,בְּיָדוֹ,yidvo,H3035,an Israelite,,noun proper
39:4,וַיִּמְצָא,vymts',,,,
39:4,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
39:4,חֵן,chen,H2580,"favor, grace",కృప,noun
39:4,בְּעֵינָיו,einav,H5869,his eyes,అతన కళళ,noun
39:4,וַיְשָׁרֶת,vyshrt,,,,
39:4,אֹתוֹ,'tv,,,,
39:4,וַיַּפְקִדֵהוּ,vyfqdhv,,,,
39:4,עַל,al,H5921,"upon, over",మీద,preposition
39:4,בֵּיתוֹ,vytv,,,,
39:4,וְכָל,kol,H3605,"all, every",అంతయు,noun
39:4,יֶשׁ,ysh,,,,
39:4,לוֹ,lv,,,,
39:4,נָתַן,natan,H5414,give,ఇచ్చు,verb
39:4,בְּיָדוֹ,yidvo,H3035,an Israelite,,noun proper
39:5,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
39:5,מֵאָז,meaz,H227,since then,అప్పటినుండి,verb
39:5,הִפְקִיד,paqiyd,H6496,military or religious),,noun
39:5,אֹתוֹ,'tv,,,,
39:5,בְּבֵיתוֹ,beito,H1004,his house,అతన ఇలల,noun
39:5,וְעַל,al,H5921,"upon, over",మీద,preposition
39:5,כָּל,khl,,,,
39:5,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
39:5,יֶשׁ,ysh,,,,
39:5,לוֹ,lv,,,,
39:5,וַיְבָרֶךְ,vayvarekh,H1288,and blessed,ఆశీర్వదించెను,verb
39:5,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
39:5,אֶת,'t,,,,
39:5,בֵּית,vyt,,,,
39:5,הַמִּצְרִי,mitsriy,H4713,or inhabitant of Mitsrajim,,adjective
39:6,וַיַּעֲזֹב,vy'zv,,,,
39:6,כָּל,khl,,,,
39:6,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
39:6,לוֹ,lv,,,,
39:6,בְּיַד,yad,H3027,hand,చేయి,noun
39:6,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
39:6,וְלֹא,lo,H3808,not,కాదు,verb
39:6,יָדַע,yada,H3045,know,తెలియు,verb
39:6,אִתּוֹ,'tv,,,,
39:6,מְאוּמָה,m'vmah,H3972,nothing,,noun
39:6,כִּי,khiy,H3588,antecedent or consequent],,conjunction
39:6,אִם,im,H518,if,అయితే,particle
39:6,הַלֶּחֶם,lacham,H3898,eat,,verb
39:6,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
39:6,הוּא,hv',,,,
39:7,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
39:7,אַחַר,achar,H310,after,తరువాత,verb
39:7,הַדְּבָרִים,hdvrym,,,,
39:7,הָאֵלֶּה,'alah,H423,a curse,,noun
39:7,וַתִּשָּׂא,vtsh',,,,
39:7,אֵשֶׁת,'sht,,,,
39:7,אֲדֹנָיו,'dnyv,,,,
39:7,אֶת,'t,,,,
39:7,עֵינֶיהָ,'ynyh,,,,
39:7,אֶל,el,H413,"to, toward",వైపు,preposition
39:7,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
39:7,וַתֹּאמֶר,tomar,H559,you/she will say,చపపన,verb
39:7,שִׁכְבָה,khabah,H3518,light,,verb
39:7,עִמִּי,'my,,,,
39:8,וַיְמָאֵן,vym'n,,,,
39:8,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
39:8,אֶל,el,H413,"to, toward",వైపు,preposition
39:8,אֵשֶׁת,'sht,,,,
39:8,אֲדֹנָיו,'dnyv,,,,
39:8,הֵן,hen,H2005,if,,particle
39:8,אֲדֹנִי,adoni,H113,my lord,నా ప్రభువు,noun
39:8,לֹא,lo,H3808,not,కాదు,verb
39:8,יָדַע,yada,H3045,know,తెలియు,verb
39:8,אִתִּי,'ty,,,,
39:8,מַה,mh,,,,
39:8,בַּבָּיִת,bayit,H1006,a place in Israel,,noun location
39:8,וְכֹל,kol,H3605,"all, every",అంతయు,noun
39:8,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
39:8,יֶשׁ,ysh,,,,
39:9,אֵינֶנּוּ,einennu,H369,he is not,అతడు లేడు,particle negative
39:9,גָדוֹל,gdvl,,,,
39:9,בַּבַּיִת,bayit,H1006,a place in Israel,,noun location
39:9,הַזֶּה,zeh,H2089,a sheep,,noun
39:9,מִמֶּנִּי,mniy,H4507,i.e. Fate,,noun proper
39:9,וְלֹא,lo,H3808,not,కాదు,verb
39:9,חָשַׂךְ,chshkh,,,,
39:9,מִמֶּנִּי,mniy,H4507,i.e. Fate,,noun proper
39:9,מְאוּמָה,m'vmah,H3972,nothing,,noun
39:9,כִּי,khiy,H3588,antecedent or consequent],,conjunction
39:9,אִם,im,H518,if,అయితే,particle
39:9,אוֹתָךְ,'vtkh,,,,
39:9,בַּאֲשֶׁר,'asher,H834,when,,pronoun reflexive
39:9,אַתְּ,'t,,,,
39:9,אִשְׁתּוֹ,'shtv,,,,
39:10,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
39:10,כְּדַבְּרָהּ,dibrah,H1700,suit or style,,noun
39:10,אֶל,el,H413,"to, toward",వైపు,preposition
39:10,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
39:10,יוֹם,yom,H3117,day,దినము,noun
39:10,יוֹם,yom,H3117,day,దినము,noun
39:10,וְלֹא,lo,H3808,not,కాదు,verb
39:10,שָׁמַע,shama',H8085,causatively,"తెలివిగా వినడానికి (తరచుగా శ్రద్ధ, విధేయత మొదలైన వాటితో; కారణం, చెప్పడం మొదలైనవి)",verb
39:10,אֵלֶיהָ,'lyh,,,,
39:10,לִשְׁכַּב,shakhab,H7901,sexual connection,,verb
39:10,אֶצְלָהּ,'tslh,,,,
39:10,לִהְיוֹת,lhyvt,,,,
39:10,עִמָּהּ,'mh,,,,
39:11,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
39:11,כְּהַיּוֹם,hayyom,H3117,"the day, today",ఈ దనమ,noun
39:11,הַזֶּה,zeh,H2089,a sheep,,noun
39:11,וַיָּבֹא,yavo,H935,he will come,అతడ వచచన,verb
39:11,הַבַּיְתָה,hvyth,,,,
39:11,לַעֲשׂוֹת,laasot,H6213,"to do, to make",చేయుటకు,verb
39:11,מְלַאכְתּוֹ,ml'khtv,,,,
39:11,וְאֵין,'ayin,H370,where.,,verb
39:11,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
39:11,מֵאַנְשֵׁי,anshei,H376,men of,మనుష్యులు,noun
39:11,הַבַּיִת,bayit,H1006,a place in Israel,,noun location
39:11,שָׁם,sham,H8033,or thence,,verb
39:11,בַּבָּיִת,bayit,H1006,a place in Israel,,noun location
39:12,וַתִּתְפְּשֵׂהוּ,vttfshhv,,,,
39:12,בְּבִגְדוֹ,vvgdv,,,,
39:12,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
39:12,שִׁכְבָה,khabah,H3518,light,,verb
39:12,עִמִּי,'my,,,,
39:12,וַיַּעֲזֹב,vy'zv,,,,
39:12,בִּגְדוֹ,vgdv,,,,
39:12,בְּיָדָהּ,yadah,H3034,to revere or worship,,verb
39:12,וַיָּנָס,vyns,,,,
39:12,וַיֵּצֵא,yatsa,H3318,go out,వెళ్ళు,verb
39:12,הַחוּצָה,hchvtsh,,,,
39:13,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
39:13,כִּרְאוֹתָהּ,khr'vth,,,,
39:13,כִּי,khiy,H3588,antecedent or consequent],,conjunction
39:13,עָזַב,azav,H5800,"leave, forsake",విడిచిపెట్టు,verb
39:13,בִּגְדוֹ,vgdv,,,,
39:13,בְּיָדָהּ,yadah,H3034,to revere or worship,,verb
39:13,וַיָּנָס,vyns,,,,
39:13,הַחוּצָה,hchvtsh,,,,
39:14,וַתִּקְרָא,vtqr',,,,
39:14,לְאַנְשֵׁי,anshei,H376,men of,మనుష్యులు,noun
39:14,בֵיתָהּ,vyth,,,,
39:14,וַתֹּאמֶר,tomar,H559,you/she will say,చపపన,verb
39:14,לָהֶם,ham,H1990,a region of Israel,,noun location
39:14,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
39:14,רְאוּ,r'v,,,,
39:14,הֵבִיא,hvy',,,,
39:14,לָנוּ,lnv,,,,
39:14,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
39:14,עִבְרִי,'vry,,,,
39:14,לְצַחֶק,tsachaq,H6711,mock,,verb
39:14,בָּנוּ,vnv,,,,
39:14,בָּא,v',,,,
39:14,אֵלַי,'ly,,,,
39:15,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
39:15,כְשָׁמְעוֹ,shamu,H8085,they heard,వర వనర,verb
39:15,כִּי,khiy,H3588,antecedent or consequent],,conjunction
39:15,הֲרִימֹתִי,hrymty,,,,
39:15,קוֹלִי,qvly,,,,
39:15,וָאֶקְרָא,v'qr',,,,
39:15,וַיַּעֲזֹב,vy'zv,,,,
39:15,בִּגְדוֹ,vgdv,,,,
39:15,אֶצְלִי,'tsly,,,,
39:15,וַיָּנָס,vyns,,,,
39:15,וַיֵּצֵא,yatsa,H3318,go out,వెళ్ళు,verb
39:15,הַחוּצָה,hchvtsh,,,,
39:16,וַתַּנַּח,vtnch,,,,
39:16,בִּגְדוֹ,vgdv,,,,
39:16,אֶצְלָהּ,'tslh,,,,
39:16,עַד,ad,H5704,"until, as far as",వరకు,preposition
39:16,בּוֹא,bo,H935,"come, enter",రా,verb
39:16,אֲדֹנָיו,'dnyv,,,,
39:16,אֶל,el,H413,"to, toward",వైపు,preposition
39:16,בֵּיתוֹ,vytv,,,,
39:17,וַתְּדַבֵּר,vtdvr,,,,
39:17,אֵלָיו,'lyv,,,,
39:17,כַּדְּבָרִים,khdvrym,,,,
