Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
24:1,וְאַבְרָהָם,'abraham,H85,the later name of Abram,సమూహమునకు తండ్రి,noun proper
24:1,זָקֵן,zaqen,H2205,"old, elder",పెద్ద,adjective
24:1,בָּא,v',,,,
24:1,בַּיָּמִים,yamim,H3117,days,దినములు,noun
24:1,וַיהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
24:1,בֵּרַךְ,rakh,H7390,soft,,adjective
24:1,אֶת,'t,,,,
24:1,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
24:1,בַּכֹּל,kol,H3605,"all, every",అంతయు,noun
24:2,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
24:2,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
24:2,אֶל,el,H413,"to, toward",వైపు,preposition
24:2,עַבְדּוֹ,avdo,H5650,his servant,అతని దాసుడు,noun
24:2,זְקַן,zqn,,,,
24:2,בֵּיתוֹ,vytv,,,,
24:2,הַמֹּשֵׁל,mashal,H4911,intransitively,,verb
24:2,בְּכָל,kol,H3605,"all, every",అంతయు,noun
24:2,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
24:2,לוֹ,lv,,,,
24:2,שִׂים,yam,H3220,sea,సముద్రము,noun
24:2,נָא,na',H4995,i.e. uncooked,,adjective
24:2,יָדְךָ,ydkh,,,,
24:2,תַּחַת,tachat,H8480,the name of a place in the Desert,,noun location
24:2,יְרֵכִי,yrkhy,,,,
24:3,וְאַשְׁבִּיעֲךָ,v'shvy'kh,,,,
24:3,בַּיהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
24:3,אֱלֹהֵי,elohei,H430,God of,దేవుడు,noun
24:3,הַשָּׁמַיִם,shamayim,H8064,heavens,ఆకాశములు,noun
24:3,וֵאלֹהֵי,elohei,H430,God of,దేవుడు,noun
24:3,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
24:3,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
24:3,לֹא,lo,H3808,not,కాదు,verb
24:3,תִקַּח,tqch,,,,
24:3,אִשָּׁה,'ishah,H801,but used in a liturgical sense],,noun
24:3,לִבְנִי,baniy,H1137,the name of five Israelites,,noun proper
24:3,מִבְּנוֹת,banot,H1323,daughters,కమరతల,noun
24:3,הַכְּנַעֲנִי,khna'aniy,H3669,who conducted mercantile caravans),,adjective
24:3,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
24:3,אָנֹכִי,'nkhy,,,,
24:4,כִּי,khiy,H3588,antecedent or consequent],,conjunction
24:4,אֶל,el,H413,"to, toward",వైపు,preposition
24:4,אַרְצִי,'rtsy,,,,
24:4,וְאֶל,al,H408,not (imperative),వద్దు,verb
24:4,מוֹלַדְתִּי,mvldty,,,,
24:4,תֵּלֵךְ,tlkh,,,,
24:4,וְלָקַחְתָּ,laqachat,H3947,to take,తసకనటక,verb
24:4,אִשָּׁה,'ishah,H801,but used in a liturgical sense],,noun
24:4,לִבְנִי,baniy,H1137,the name of five Israelites,,noun proper
24:4,לְיִצְחָק,yitschaq,H3327,son of Abraham,,noun proper
24:5,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
24:5,אֵלָיו,'lyv,,,,
24:5,הָעֶבֶד,'abad,H5647,to enslave,,verb
24:5,אוּלַי,ulay,H194,perhaps,ఒకవేళ,verb
24:5,לֹא,lo,H3808,not,కాదు,verb
24:5,תֹאבֶה,t'vh,,,,
24:5,הָאִשָּׁה,'eshah,H800,fire,,noun
24:5,לָלֶכֶת,lalekhet,H1980,to go,వెళ్ళుటకు,verb
24:5,אַחֲרַי,'chry,,,,
24:5,אֶל,el,H413,"to, toward",వైపు,preposition
24:5,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
24:5,הַזֹּאת,zot,H2063,this (fem),ఇద,pronoun
24:5,הֶהָשֵׁב,shav,H7725,dwell,నివసించు,verb
24:5,אָשִׁיב,'shyv,,,,
24:5,אֶת,'t,,,,
24:6,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
24:6,אֵלָיו,'lyv,,,,
24:6,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
24:6,הִשָּׁמֶר,shamar,H8104,to protect,,verb
24:6,לְךָ,lkh,,,,
24:6,פֶּן,fn,,,,
24:6,תָּשִׁיב,tshyv,,,,
24:6,אֶת,'t,,,,
24:6,בְּנִי,niy,H5204,apparently from H5091],,noun
24:6,שָׁמָּה,mah,H4100,what?,ఏమి?,interrogative
24:7,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
24:7,אֱלֹהֵי,elohei,H430,God of,దేవుడు,noun
24:7,הַשָּׁמַיִם,shamayim,H8064,heavens,ఆకాశములు,noun
24:7,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
24:7,לְקָחַנִי,lqchny,,,,
24:7,מִבֵּית,bayit,H1006,a place in Israel,,noun location
24:7,אָבִי,'vy,,,,
24:7,וּמֵאֶרֶץ,erets,H776,"land, earth",భూమి,noun
24:7,מוֹלַדְתִּי,mvldty,,,,
24:7,וַאֲשֶׁר,'asher,H834,when,,pronoun reflexive
24:7,דִּבֶּר,dvr,,,,
24:7,לִי,ly,,,,
24:7,וַאֲשֶׁר,'asher,H834,when,,pronoun reflexive
24:7,נִשְׁבַּע,nshv',,,,
24:7,לִי,ly,,,,
24:8,וְאִם,em,H517,mother,తల్లి,noun
24:8,לֹא,lo,H3808,not,కాదు,verb
24:8,תֹאבֶה,t'vh,,,,
24:8,הָאִשָּׁה,'eshah,H800,fire,,noun
24:8,לָלֶכֶת,lalekhet,H1980,to go,వెళ్ళుటకు,verb
24:8,אַחֲרֶיךָ,acharekha,H310,after you,నీ తరువాత,verb
24:8,וְנִקִּיתָ,vnqyt,,,,
24:8,מִשְּׁבֻעָתִי,mshv'ty,,,,
24:8,זֹאת,z't,,,,
24:8,רַק,raq,H7535,only,మాత్రమే,verb
24:8,אֶת,'t,,,,
24:8,בְּנִי,niy,H5204,apparently from H5091],,noun
24:8,לֹא,lo,H3808,not,కాదు,verb
24:8,תָשֵׁב,tshv,,,,
24:8,שָׁמָּה,mah,H4100,what?,ఏమి?,interrogative
24:9,וַיָּשֶׂם,yasham,H3455,to be placed,,verb
24:9,הָעֶבֶד,'abad,H5647,to enslave,,verb
24:9,אֶת,'t,,,,
24:9,יָדוֹ,ydv,,,,
24:9,תַּחַת,tachat,H8480,the name of a place in the Desert,,noun location
24:9,יֶרֶךְ,yrkh,,,,
24:9,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
24:9,אֲדֹנָיו,'dnyv,,,,
24:9,וַיִּשָּׁבַע,vyshv',,,,
24:9,לוֹ,lv,,,,
24:9,עַל,al,H5921,"upon, over",మీద,preposition
24:9,הַדָּבָר,dabar,H1696,but used figuratively,మాట్లాడు,verb
24:9,הַזֶּה,zeh,H2089,a sheep,,noun
24:10,וַיִּקַּח,yiqqach,H3947,he will take,అతడ తసకనన,verb
24:10,הָעֶבֶד,'abad,H5647,to enslave,,verb
24:10,עֲשָׂרָה,'shrh,,,,
24:10,גְמַלִּים,gmlym,,,,
24:10,מִגְּמַלֵּי,gmaliy,H1582,an Israelite,,noun proper
24:10,אֲדֹנָיו,'dnyv,,,,
24:10,וַיֵּלֶךְ,yalakh,H3212,away,(వాచ్యంగా లేదా అలంకారికంగా) నడవడానికి; (కారణంగా) మోయడానికి (వివిధ భావాలలో),verb
24:10,וְכָל,kol,H3605,"all, every",అంతయు,noun
24:10,טוּב,tvv,,,,
24:10,אֲדֹנָיו,'dnyv,,,,
24:10,בְּיָדוֹ,yidvo,H3035,an Israelite,,noun proper
24:10,וַיָּקָם,vyqm,,,,
24:10,וַיֵּלֶךְ,yalakh,H3212,away,(వాచ్యంగా లేదా అలంకారికంగా) నడవడానికి; (కారణంగా) మోయడానికి (వివిధ భావాలలో),verb
24:10,אֶל,el,H413,"to, toward",వైపు,preposition
24:10,אֲרַם,'rm,,,,
24:11,וַיַּבְרֵךְ,vyvrkh,,,,
24:11,הַגְּמַלִּים,gemallim,H1581,camels,ఒంటెలు,noun
24:11,מִחוּץ,mchvts,,,,
24:11,לָעִיר,ir,H5892,city,పట్టణము,noun
24:11,אֶל,el,H413,"to, toward",వైపు,preposition
24:11,בְּאֵר,b'er,H876,a place in the Desert,,noun location
24:11,הַמָּיִם,mayim,H4325,waters,జలములు,noun
24:11,לְעֵת,et,H6256,time,సమయము,noun
24:11,עֶרֶב,erev,H6153,evening,సాయంత్రము,noun
24:11,לְעֵת,et,H6256,time,సమయము,noun
24:11,צֵאת,ts't,,,,
24:11,הַשֹּׁאֲבֹת,hsh'vt,,,,
24:12,וַיֹּאמַר,yomar,H559,he will say,అతడ చపపన,verb
24:12,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
24:12,אֱלֹהֵי,elohei,H430,God of,దేవుడు,noun
24:12,אֲדֹנִי,adoni,H113,my lord,నా ప్రభువు,noun
24:12,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
24:12,הַקְרֵה,qarah,H7136,specifically,,verb
24:12,נָא,na',H4995,i.e. uncooked,,adjective
24:12,לְפָנַי,lefanay,H6440,before me,నా ముందు,noun
24:12,הַיּוֹם,hayyom,H3117,"the day, today",ఈ దినము,noun
