Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
10:1,וְאֵלֶּה,'alah,H423,a curse,,noun
10:1,תּוֹלְדֹת,toledot,H8435,generations,వంశావళి,noun
10:1,בְּנֵי,niy,H5204,apparently from H5091],,noun
10:1,נֹחַ,Noach,H5146,Noah,నోవహు,noun proper
10:1,שֵׁם,shem,H8035,a son of Noah,,noun proper
10:1,חָם,Cham,H2526,Ham,హాము,noun location
10:1,וָיָפֶת,Yefet,H3315,Japheth,యెఫెతు,noun proper
10:1,וַיִּוָּלְדוּ,vyvldv,,,,
10:1,לָהֶם,ham,H1990,a region of Israel,,noun location
10:1,בָּנִים,vnym,,,,
10:1,אַחַר,achar,H310,after,తరువాత,verb
10:1,הַמַּבּוּל,mabbul,H3999,flood,జలప్రళయము,noun
10:2,בְּנֵי,niy,H5204,apparently from H5091],,noun
10:2,יֶפֶת,Yefet,H3315,Japheth,యెఫెతు,noun proper
10:2,גֹּמֶר,gmr,,,,
10:2,וּמָגוֹג,Magog,H4031,Magog,మాగోగు,noun location
10:2,וּמָדַי,Maday,H4074,Madai,మాదాయి,noun location
10:2,וְיָוָן,Yavan,H3120,Javan,యావాను,noun location
10:2,וְתֻבָל,tebel,H8397,i.e. unnatural bestiality,,noun
10:2,וּמֶשֶׁךְ,mashakh,H4900,used in a great variety of applications,,verb
10:2,וְתִירָס,tiyras,H8494,a son of Japheth,,noun proper
10:3,וּבְנֵי,baniy,H1137,the name of five Israelites,,noun proper
10:3,גֹּמֶר,gmr,,,,
10:3,אַשְׁכֲּנַז,'shkhnz,,,,
10:3,וְרִיפַת,Rifat,H7384,Riphath,రీపతు,noun proper
10:3,וְתֹגַרְמָה,Togarmah,H8425,Togarmah,తోగర్మా,noun proper
10:4,וּבְנֵי,baniy,H1137,the name of five Israelites,,noun proper
10:4,יָוָן,Yavan,H3120,Javan,యావాను,noun location
10:4,אֱלִישָׁה,'eliyshah,H473,a son of Javan,,noun proper
10:4,וְתַרְשִׁישׁ,tarshiysh,H8659,the ephithet of a merchant vessel,,noun location
10:4,כִּתִּים,khtym,,,,
10:4,וְדֹדָנִים,ddaniym,H1720,the descendants or inhabitants of Dedan,,adjective
10:5,מֵאֵלֶּה,'alah,H423,a curse,,noun
10:5,נִפְרְדוּ,nfrdv,,,,
10:5,אִיֵּי,'yy,,,,
10:5,הַגּוֹיִם,goyim,H1471,nations,జాతులు,noun
10:5,בְּאַרְצֹתָם,v'rtstm,,,,
10:5,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
10:5,לִלְשֹׁנוֹ,llshnv,,,,
10:5,לְמִשְׁפְּחֹתָם,lmshfchtm,,,,
10:5,בְּגוֹיֵהֶם,vgvyhm,,,,
10:6,וּבְנֵי,baniy,H1137,the name of five Israelites,,noun proper
10:6,חָם,Cham,H2526,Ham,హాము,noun location
10:6,כּוּשׁ,Kush,H3568,Cush,కూషు,noun location
10:6,וּמִצְרַיִם,mitsrayim,H4714,i.e. Upper and Lower Egypt,,adjective
10:6,וּפוּט,pvt,H6316,a son of Ham,,noun
10:6,וּכְנָעַן,khna'an,H3667,also the country inhabited by him,,noun
10:7,וּבְנֵי,baniy,H1137,the name of five Israelites,,noun proper
10:7,כוּשׁ,khvsh,,,,
10:7,סְבָא,Seva,H5434,Seba,సెబా,noun location
10:7,וַחֲוִילָה,Chavilah,H2341,Havilah,హవీలా,noun location
10:7,וְסַבְתָּה,vsvth,,,,
10:7,וְרַעְמָה,ra'mah,H7484,the name of a grandson of Ham,,noun location
10:7,וְסַבְתְּכָא,sabtkha',H5455,the name of a son of Cush,,noun proper
10:7,וּבְנֵי,baniy,H1137,the name of five Israelites,,noun proper
10:7,רַעְמָה,r'mh,,,,
10:7,שְׁבָא,shba',H7614,the name of three early progenitors of tribes and...,,noun location
10:7,וּדְדָן,Dedan,H1719,Dedan,దెదాను,noun location
10:8,וְכוּשׁ,Kush,H3568,Cush,కూషు,noun location
10:8,יָלַד,yalad,H3205,give birth,కను,verb
10:8,אֶת,'t,,,,
10:8,נִמְרֹד,Nimrod,H5248,Nimrod,నిమ్రోదు,noun proper
10:8,הוּא,hv',,,,
10:8,הֵחֵל,hchl,,,,
10:8,לִהְיוֹת,lhyvt,,,,
10:8,גִּבֹּר,gvr,,,,
10:8,בָּאָרֶץ,erets,H776,"land, earth",భూమి,noun
10:9,הוּא,hv',,,,
10:9,הָיָה,hayah,H1961,"be, become",ఉండు,verb
10:9,גִבֹּר,gvr,,,,
10:9,צַיִד,tsayid,H6718,"hunting, game",వేట,noun
10:9,לִפְנֵי,lifney,H6440,before,ముందు,noun
10:9,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
10:9,עַל,al,H5921,"upon, over",మీద,preposition
10:9,כֵּן,khen,H3654,X manner.,,noun
10:9,יֵאָמַר,y'mr,,,,
10:9,כְּנִמְרֹד,Nimrod,H5248,Nimrod,నిమ్రోదు,noun proper
10:9,גִּבּוֹר,gvvr,,,,
10:9,צַיִד,tsayid,H6718,"hunting, game",వేట,noun
10:9,לִפְנֵי,lifney,H6440,before,ముందు,noun
10:9,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
10:10,וַתְּהִי,tehi,H1961,let it be,అగుగాక,verb
10:10,רֵאשִׁית,r'shyt,,,,
10:10,מַמְלַכְתּוֹ,mmlkhtv,,,,
10:10,בָּבֶל,babel,H894,including Babylonia and the Babylonian empire,,noun location
10:10,וְאֶרֶךְ,'arakh,H748,make) long,,verb
10:10,וְאַכַּד,'akhad,H390,a place in Babylon,,noun location
10:10,וְכַלְנֵה,vkhlnh,,,,
10:10,בְּאֶרֶץ,erets,H776,"land, earth",భూమి,noun
10:10,שִׁנְעָר,na'ar,H5287,through the idea of the rustling of mane,,verb
10:11,מִן,min,H4480,from,నుండి,preposition
10:11,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
10:11,הַהִוא,hu,H1931,"he, it",అతడ,
10:11,יָצָא,yatsa,H3318,go out,వెళ్ళు,verb
10:11,אַשּׁוּר,'shvr,,,,
10:11,וַיִּבֶן,vyvn,,,,
10:11,אֶת,'t,,,,
10:11,נִינְוֵה,niynveh,H5210,the capital of Assyria,,noun location
10:11,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
10:11,רְחֹבֹת,rchvt,,,,
10:11,עִיר,ir,H5892,city,పట్టణము,noun
10:11,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
10:11,כָּלַח,lach,H3892,"moist, fresh",తడి,adjective
10:12,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
10:12,רֶסֶן,resen,H7449,a place in Assyrian,,noun location
10:12,בֵּין,beyn,H996,either...or,,preposition
10:12,נִינְוֵה,niynveh,H5210,the capital of Assyria,,noun location
10:12,וּבֵין,biyn,H995,consider,,verb
10:12,כָּלַח,lach,H3892,"moist, fresh",తడి,adjective
10:12,הִוא,hv',,,,
10:12,הָעִיר,hair,H5892,the city,ఆ పట్టణము,noun
10:12,הַגְּדֹלָה,hgdlh,,,,
10:13,וּמִצְרַיִם,mitsrayim,H4714,i.e. Upper and Lower Egypt,,adjective
10:13,יָלַד,yalad,H3205,give birth,కను,verb
10:13,אֶת,'t,,,,
10:13,לוּדִים,Ludim,H3866,Ludim,లూదీము,adjective
10:13,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
10:13,עֲנָמִים,Anamim,H6047,Anamim,అనామీము,noun proper
10:13,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
