Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
35:1,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
35:1,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
35:1,אֶל,el,H413,"to, toward",వైపు,preposition
35:1,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:1,קוּם,qum,H6965,arise,లేచు,verb
35:1,עֲלֵה,aleh,H5927,go up!,ఎక్కుము,verb
35:1,בֵית,vyt,,,,
35:1,אֵל,El,H410,God (mighty one),దేవుడు,noun
35:1,וְשֶׁב,shav,H7725,dwell,నివసించు,verb
35:1,שָׁם,sham,H8033,or thence,,verb
35:1,וַעֲשֵׂה,'ashah,H6213,in the broadest sense and widest application,విస్తృతమైన అర్థంలో మరియు విస్తృతమైన అప్లికేషన్ (క్రింది విధంగా),verb
35:1,שָׁם,sham,H8033,or thence,,verb
35:1,מִזְבֵּחַ,zabach,H2076,offer,,verb
35:1,לָאֵל,la'el,H3815,to God,,noun proper
35:1,הַנִּרְאֶה,nirah,H7200,was seen,కనిపించెను,verb
35:2,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
35:2,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:2,אֶל,el,H413,"to, toward",వైపు,preposition
35:2,בֵּיתוֹ,vytv,,,,
35:2,וְאֶל,al,H408,not (imperative),వద్దు,verb
35:2,כָּל,khl,,,,
35:2,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:2,עִמּוֹ,'mv,,,,
35:2,הָסִרוּ,hsrv,,,,
35:2,אֶת,'t,,,,
35:2,אֱלֹהֵי,elohei,H430,God of,దేవుడు,noun
35:2,הַנֵּכָר,nakhar,H5234,hence,,verb
35:2,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:2,בְּתֹכְכֶם,vtkhkhm,,,,
35:2,וְהִטַּהֲרוּ,vhthrv,,,,
35:3,וְנָקוּמָה,vnqvmh,,,,
35:3,וְנַעֲלֶה,vn'lh,,,,
35:3,בֵּית,vyt,,,,
35:3,אֵל,El,H410,God (mighty one),దేవుడు,noun
35:3,וְאֶעֱשֶׂה,eeseh,H6213,I will do,నన చయదన,verb
35:3,שָּׁם,shm,,,,
35:3,מִזְבֵּחַ,zabach,H2076,offer,,verb
35:3,לָאֵל,la'el,H3815,to God,,noun proper
35:3,הָעֹנֶה,anah,H6030,answer,జవాబిచ్చు,verb
35:3,אֹתִי,'ty,,,,
35:3,בְּיוֹם,yom,H3117,day,దినము,noun
35:3,צָרָתִי,tsrty,,,,
35:3,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
35:3,עִמָּדִי,'mdy,,,,
35:3,בַּדֶּרֶךְ,darakh,H1869,bend,,verb
35:4,וַיִּתְּנוּ,vytnv,,,,
35:4,אֶל,el,H413,"to, toward",వైపు,preposition
35:4,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:4,אֵת,et,H853,(object marker),-,particle unrepresented in English
35:4,כָּל,khl,,,,
35:4,אֱלֹהֵי,elohei,H430,God of,దేవుడు,noun
35:4,הַנֵּכָר,nakhar,H5234,hence,,verb
35:4,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:4,בְּיָדָם,vydm,,,,
35:4,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
35:4,הַנְּזָמִים,hnzmym,,,,
35:4,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:4,בְּאָזְנֵיהֶם,v'znyhm,,,,
35:4,וַיִּטְמֹן,vytmn,,,,
35:4,אֹתָם,'tm,,,,
35:5,וַיִּסָּעוּ,vys'v,,,,
35:5,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
35:5,חִתַּת,chtt,,,,
35:5,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
35:5,עַל,al,H5921,"upon, over",మీద,preposition
35:5,הֶעָרִים,arim,H5892,cities,పట్టణములు,noun
35:5,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:5,סְבִיבֹתֵיהֶם,svyvtyhm,,,,
35:5,וְלֹא,lo,H3808,not,కాదు,verb
35:5,רָדְפוּ,rdfv,,,,
35:5,אַחֲרֵי,acharey,H310,after,తరువాత,verb
35:5,בְּנֵי,niy,H5204,apparently from H5091],,noun
35:5,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:6,וַיָּבֹא,yavo,H935,he will come,అతడ వచచన,verb
35:6,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:6,לוּזָה,zeh,H2089,a sheep,,noun
35:6,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:6,בְּאֶרֶץ,erets,H776,"land, earth",భూమి,noun
35:6,כְּנַעַן,khna'an,H3667,also the country inhabited by him,,noun
35:6,הִוא,hv',,,,
35:6,בֵּית,vyt,,,,
35:6,אֵל,El,H410,God (mighty one),దేవుడు,noun
35:6,הוּא,hv',,,,
35:6,וְכָל,kol,H3605,"all, every",అంతయు,noun
35:6,הָעָם,am,H5971,"people, nation",ప్రజలు,noun
35:6,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:6,עִמּוֹ,'mv,,,,
35:7,וַיִּבֶן,vyvn,,,,
35:7,שָׁם,sham,H8033,or thence,,verb
35:7,מִזְבֵּחַ,zabach,H2076,offer,,verb
35:7,וַיִּקְרָא,vyqr',,,,
35:7,לַמָּקוֹם,maqom,H4725,place,స్థలము,noun
35:7,אֵל,El,H410,God (mighty one),దేవుడు,noun
35:7,בֵּית,vyt,,,,
35:7,אֵל,El,H410,God (mighty one),దేవుడు,noun
35:7,כִּי,khiy,H3588,antecedent or consequent],,conjunction
35:7,שָׁם,sham,H8033,or thence,,verb
35:7,נִגְלוּ,nglv,,,,
35:7,אֵלָיו,'lyv,,,,
35:7,הָאֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
35:7,בְּבָרְחוֹ,vvrchv,,,,
35:7,מִפְּנֵי,penei,H6440,face of,ముఖము,noun
35:8,וַתָּמָת,vtmt,,,,
35:8,דְּבֹרָה,dvrh,,,,
35:8,מֵינֶקֶת,mynqt,,,,
35:8,רִבְקָה,Rivqah,H7259,Rebekah,రిబ్కా,noun proper
35:8,וַתִּקָּבֵר,vtqvr,,,,
35:8,מִתַּחַת,tachat,H8480,the name of a place in the Desert,,noun location
35:8,לְבֵית,bayit,H1006,a place in Israel,,noun location
35:8,אֵל,El,H410,God (mighty one),దేవుడు,noun
35:8,תַּחַת,tachat,H8480,the name of a place in the Desert,,noun location
35:8,הָאַלּוֹן,'elvon,H436,an oak or other strong tree,,noun
35:8,וַיִּקְרָא,vyqr',,,,
35:8,שְׁמוֹ,shmv,,,,
35:8,אַלּוֹן,'alvon,H438,an Israelite,,noun proper
35:8,בָּכוּת,vkhvt,,,,
35:8,פ,f,,,,
35:9,וַיֵּרָא,yare,H3372,fear,భయపడు,verb
35:9,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
35:9,אֶל,el,H413,"to, toward",వైపు,preposition
35:9,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:9,עוֹד,od,H5750,"still, yet, again",ఇంకా,verb
35:9,בְּבֹאוֹ,bau,H935,they came,వర వచచర,verb
35:9,מִפַּדַּן,mfdn,,,,
35:9,אֲרָם,Aram,H758,Aram,అరాము,noun
35:9,וַיְבָרֶךְ,vayvarekh,H1288,and blessed,ఆశీర్వదించెను,verb
35:9,אֹתוֹ,'tv,,,,
35:10,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
35:10,לוֹ,lv,,,,
35:10,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
35:10,שִׁמְךָ,shmkh,,,,
35:10,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:10,לֹא,lo,H3808,not,కాదు,verb
35:10,יִקָּרֵא,yqr',,,,
35:10,שִׁמְךָ‪[c]‬,shmkh,,,,
35:10,עוֹד,od,H5750,"still, yet, again",ఇంకా,verb
35:10,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:10,כִּי,khiy,H3588,antecedent or consequent],,conjunction
35:10,אִם,im,H518,if,అయితే,particle
35:10,יִשְׂרָאֵל,yshr'l,,,,
35:10,יִהְיֶה,yiyeh,H1961,will be,ఉండును,verb
35:10,שְׁמֶךָ,shmkh,,,,
35:11,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
35:11,לוֹ,lv,,,,
35:11,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
35:11,אֲנִי,'aniy,H589,me,,personal pronoun
35:11,אֵל,El,H410,God (mighty one),దేవుడు,noun
35:11,שַׁדַּי,shaday,H7706,the Almighty,సర్వశక్తిమంతుడు,noun
35:11,פְּרֵה,frh,,,,
35:11,וּרְבֵה,ravah,H7235,multiply,వృద్ధిచెందు,verb
35:11,גּוֹי,goy,H1471,nation,జాతి,noun
35:11,וּקְהַל,qahal,H6950,gather .,,verb
35:11,גּוֹיִם,goyim,H1471,nations,జాతులు,noun
35:11,יִהְיֶה,yiyeh,H1961,will be,ఉండును,verb
35:11,מִמֶּךָּ,mmkh,,,,
35:11,וּמְלָכִים,vmlkhym,,,,
35:11,מֵחֲלָצֶיךָ,mchltsykh,,,,
35:12,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
35:12,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
35:12,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:12,נָתַתִּי,ntty,,,,
35:12,לְאַבְרָהָם,'abraham,H85,the later name of Abram,సమూహమునకు తండ్రి,noun proper
35:12,וּלְיִצְחָק,yitschaq,H3327,son of Abraham,,noun proper
35:12,לְךָ,lkh,,,,
35:12,אֶתְּנֶנָּה,'tnnh,,,,
35:12,וּלְזַרְעֲךָ,vlzr'kh,,,,
35:12,אַחֲרֶיךָ,acharekha,H310,after you,నీ తరువాత,verb
35:12,אֶתֵּן,'tn,,,,
35:12,אֶת,'t,,,,
35:12,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
35:13,וַיַּעַל,ya'al,H3276,set forward,,verb
35:13,מֵעָלָיו,alav,H5921,upon him,అతన మద,preposition
35:13,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
35:13,בַּמָּקוֹם,maqom,H4725,place,స్థలము,noun
35:13,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:13,דִּבֶּר,dvr,,,,
35:13,אִתּוֹ,'tv,,,,
35:14,וַיַּצֵּב,yatsab,H3320,to station,,verb
35:14,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:14,מַצֵּבָה,matsebah,H4676,by analogy,,noun
35:14,בַּמָּקוֹם,maqom,H4725,place,స్థలము,noun
35:14,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:14,דִּבֶּר,dvr,,,,
35:14,אִתּוֹ,'tv,,,,
35:14,מַצֶּבֶת,matsebet,H4678,also the stock of a tree,,noun
35:14,אָבֶן,'vn,,,,
35:14,וַיַּסֵּךְ,yasakh,H3251,to pour,,verb
35:14,עָלֶיהָ,aleiha,H5921,upon her/it,దానిమీద,preposition
35:14,נֶסֶךְ,nskh,,,,
35:14,וַיִּצֹק,yatsaq,H3332,to stiffen or grow hard,,verb
35:14,עָלֶיהָ,aleiha,H5921,upon her/it,దానిమీద,preposition
35:14,שָׁמֶן,man,H4478,i.e. manna,,noun
35:15,וַיִּקְרָא,vyqr',,,,
35:15,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
35:15,אֶת,'t,,,,
35:15,שֵׁם,shem,H8035,a son of Noah,,noun proper
35:15,הַמָּקוֹם,maqom,H4725,place,స్థలము,noun
35:15,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
35:15,דִּבֶּר,dvr,,,,
35:15,אִתּוֹ,'tv,,,,
35:15,שָׁם,sham,H8033,or thence,,verb
35:15,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
35:15,בֵּית,vyt,,,,
35:15,אֵל,El,H410,God (mighty one),దేవుడు,noun
35:16,וַיִּסְעוּ,vys'v,,,,
35:16,מִבֵּית,bayit,H1006,a place in Israel,,noun location
35:16,אֵל,El,H410,God (mighty one),దేవుడు,noun
35:16,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
35:16,עוֹד,od,H5750,"still, yet, again",ఇంకా,verb
35:16,כִּבְרַת,khvrt,,,,
35:16,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
35:16,לָבוֹא,bo,H935,"come, enter",రా,verb
35:16,אֶפְרָתָה,'frth,,,,
35:16,וַתֵּלֶד,vtld,,,,
35:16,רָחֵל,Rachel,H7354,Rachel,రాహేలు,noun proper
35:16,וַתְּקַשׁ,vtqsh,,,,
35:16,בְּלִדְתָּהּ,vldth,,,,
35:17,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
35:17,בְהַקְשֹׁתָהּ,vhqshth,,,,
35:17,בְּלִדְתָּהּ,vldth,,,,
35:17,וַתֹּאמֶר,tomar,H559,you/she will say,చపపన,verb
35:17,לָהּ,lh,,,,
35:17,הַמְיַלֶּדֶת,hmyldt,,,,
35:17,אַל,al,H408,not (imperative),వద్దు,verb
35:17,תִּירְאִי,tyr'y,,,,
35:17,כִּי,khiy,H3588,antecedent or consequent],,conjunction
35:17,גַם,gm,,,,
35:17,זֶה,zeh,H2089,a sheep,,noun
35:17,לָךְ,lkh,,,,
35:17,בֵּן,ben,H1122,an Israelite,,noun proper
35:18,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
35:18,בְּצֵאת,vts't,,,,
35:18,נַפְשָׁהּ,nfshh,,,,
35:18,כִּי,khiy,H3588,antecedent or consequent],,conjunction
35:18,מֵתָה,mth,,,,
35:18,וַתִּקְרָא,vtqr',,,,
35:18,שְׁמוֹ,shmv,,,,
35:18,בֶּן,vn,,,,
35:18,אוֹנִי,'vny,,,,
35:18,וְאָבִיו,aviv,H1,his father,అతని తడర,noun
35:18,קָרָא,qara,H7121,call,పిలుచు,verb
35:18,לוֹ,lv,,,,
35:18,בִנְיָמִין,vnymyn,,,,
35:19,וַתָּמָת,vtmt,,,,
35:19,רָחֵל,Rachel,H7354,Rachel,రాహేలు,noun proper
35:19,וַתִּקָּבֵר,vtqvr,,,,
35:19,בְּדֶרֶךְ,darakh,H1869,bend,,verb
35:19,אֶפְרָתָה,'frth,,,,
35:19,הִוא,hv',,,,
35:19,בֵּית,vyt,,,,
