Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
49:1,וַיִּקְרָא,vyqr',,,,
49:1,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
49:1,אֶל,el,H413,"to, toward",వైపు,preposition
49:1,בָּנָיו,vnyv,,,,
49:1,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
49:1,הֵאָסְפוּ,h'sfv,,,,
49:1,וְאַגִּידָה,v'gydh,,,,
49:1,לָכֶם,lkhm,,,,
49:1,אֵת,et,H853,(object marker),-,particle unrepresented in English
49:1,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
49:1,יִקְרָא,yqr',,,,
49:1,אֶתְכֶם,'tkhm,,,,
49:1,בְּאַחֲרִית,'achariyt,H319,latter) end,,noun
49:1,הַיָּמִים,yamim,H3117,days,దినములు,noun
49:2,הִקָּבְצוּ,hqvtsv,,,,
49:2,וְשִׁמְעוּ,shamu,H8085,they heard,వర వనర,verb
49:2,בְּנֵי,niy,H5204,apparently from H5091],,noun
49:2,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
49:2,וְשִׁמְעוּ,shamu,H8085,they heard,వర వనర,verb
49:2,אֶל,el,H413,"to, toward",వైపు,preposition
49:2,יִשְׂרָאֵל,yshr'l,,,,
49:2,אֲבִיכֶם,'vykhm,,,,
49:3,רְאוּבֵן,Reuven,H7205,Reuben,రూబేను,noun proper
49:3,בְּכֹרִי,khariy,H3746,Cherethites .,,adjective
49:3,אַתָּה,'th,,,,
49:3,כֹּחִי,chay,H2416,"alive, living",జీవించు,adjective
49:3,וְרֵאשִׁית,re'shiyt,H7225,in place,ఆరంభము - మొదటిది,noun
49:3,אוֹנִי,'vny,,,,
49:3,יֶתֶר,yeter,H3500,the name of five or six Israelites and of one...,,noun proper
49:3,שְׂאֵת,sh'et,H7613,dignity,,noun
49:3,וְיֶתֶר,yatar,H3498,cause to abound,,verb
49:3,עָז,'z,,,,
49:4,פַּחַז,pachaz,H6349,i.e. froth,,noun
49:4,כַּמַּיִם,mayim,H4325,waters,జలములు,noun
49:4,אַל,al,H408,not (imperative),వద్దు,verb
49:4,תּוֹתַר,tvtr,,,,
49:4,כִּי,khiy,H3588,antecedent or consequent],,conjunction
49:4,עָלִיתָ,'lyt,,,,
49:4,מִשְׁכְּבֵי,mshkhvy,,,,
49:4,אָבִיךָ,'vykh,,,,
49:4,אָז,az,H227,then,అప్పుడు,verb
49:4,חִלַּלְתָּ,chllt,,,,
49:4,יְצוּעִי,ytsv'y,,,,
49:4,עָלָה,alah,H5927,go up,ఎక్కు,verb
49:4,פ,f,,,,
49:5,שִׁמְעוֹן,ma'von,H4584,the name of an Israelite and of a place in Israel,,noun location
49:5,וְלֵוִי,Levi,H3878,Levi,లేవి,noun proper
49:5,אַחִים,achim,H251,brothers,సోదరులు,noun
49:5,כְּלֵי,li,H-,to me,నక,
49:5,חָמָס,chamas,H2555,damage,,noun
49:5,מְכֵרֹתֵיהֶם,mkhrtyhm,,,,
49:6,בְּסֹדָם,Sedom,H5467,Sodom,సొదొమ,noun location
49:6,אַל,al,H408,not (imperative),వద్దు,verb
49:6,תָּבֹא,tv',,,,
49:6,נַפְשִׁי,nfshy,,,,
49:6,בִּקְהָלָם,vqhlm,,,,
49:6,אַל,al,H408,not (imperative),వద్దు,verb
49:6,תֵּחַד,tchd,,,,
49:6,כְּבֹדִי,day,H1767,used chiefly with preposition in phrases,,preposition
49:6,כִּי,khiy,H3588,antecedent or consequent],,conjunction
49:6,בְאַפָּם,v'fm,,,,
49:6,הָרְגוּ,hrgv,,,,
49:6,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
49:6,וּבִרְצֹנָם,vvrtsnm,,,,
49:6,עִקְּרוּ,'qrv,,,,
49:6,שׁוֹר,shor,H7794,"ox, bull",ఎద్దు,noun
49:7,אָרוּר,'rvr,,,,
49:7,אַפָּם,'fm,,,,
49:7,כִּי,khiy,H3588,antecedent or consequent],,conjunction
49:7,עָז,'z,,,,
49:7,וְעֶבְרָתָם,v'vrtm,,,,
49:7,כִּי,khiy,H3588,antecedent or consequent],,conjunction
49:7,קָשָׁתָה,qshth,,,,
49:7,אֲחַלְּקֵם,'chlqm,,,,
49:7,בְּיַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
49:7,וַאֲפִיצֵם,v'fytsm,,,,
49:7,בְּיִשְׂרָאֵל,yishra'el,H3478,of his posterity,దేవునితో పోరాడినవాడు,noun proper
49:7,ס,s,,,,
49:8,יְהוּדָה,Yehudah,H3063,Judah,యూదా,noun proper
49:8,אַתָּה,'th,,,,
49:8,יוֹדוּךָ,yvdvkh,,,,
49:8,אַחֶיךָ,'chykh,,,,
49:8,יָדְךָ,ydkh,,,,
49:8,בְּעֹרֶף,'araf,H6202,hence to destroy,,verb
49:8,אֹיְבֶיךָ,'yvykh,,,,
49:8,יִשְׁתַּחֲוּוּ‪[1]‬,yshtchvv,,,,
49:8,לְךָ,lkh,,,,
49:8,בְּנֵי,niy,H5204,apparently from H5091],,noun
49:8,אָבִיךָ,'vykh,,,,
49:9,גּוּר,gvr,H1483,a place in Israel,,noun location
49:9,אַרְיֵה,aryeh,H738,lion,సింహము,noun
49:9,יְהוּדָה,Yehudah,H3063,Judah,యూదా,noun proper
49:9,מִטֶּרֶף,taraf,H2963,X without doubt,,verb
49:9,בְּנִי,niy,H5204,apparently from H5091],,noun
49:9,עָלִיתָ,'lyt,,,,
49:9,כָּרַע,khara',H3766,to prostrate,,verb
49:9,רָבַץ,rabats,H7257,be implication,,verb
49:9,כְּאַרְיֵה,'aryeh,H745,an Israelite,,noun proper
49:9,וּכְלָבִיא,vkhlvy',,,,
49:9,מִי,mi,H4310,who?,ఎవరు?,interrogative
49:9,יְקִימֶנּוּ,yqymnv,,,,
49:10,לֹא,lo,H3808,not,కాదు,verb
49:10,יָסוּר,yasvr,H3249,departing,,adjective
49:10,שֵׁבֶט,shebet,H7626,i.e. a stick or a clan,,noun
49:10,מִיהוּדָה,Yehudah,H3063,Judah,యూదా,noun proper
49:10,וּמְחֹקֵק,chaqaq,H2710,to enact,,verb
49:10,מִבֵּין,biyn,H995,consider,,verb
49:10,רַגְלָיו,rglyv,,,,
49:10,עַד,ad,H5704,"until, as far as",వరకు,preposition
49:10,כִּי,khiy,H3588,antecedent or consequent],,conjunction
49:10,יָבֹא,yavo,H935,he will come,అతడు వచ్చును,verb
49:10,*שילה,shylh,,,,
49:10,**שִׁילוֹ,shylv,,,,
49:10,וְלוֹ,lo,H-,to him,అతనక,
49:10,יִקְּהַת,yqht,,,,
49:10,עַמִּים,'mym,,,,
49:11,אֹסְרִי,'sry,,,,
49:11,לַגֶּפֶן,gepen,H1612,especially the grape,,noun
49:11,*עירה,'yrh,,,,
49:11,**עִירוֹ,'yrv,,,,
49:11,וְלַשֹּׂרֵקָה,shreqah,H8322,a derision,,noun
49:11,בְּנִי,niy,H5204,apparently from H5091],,noun
49:11,אֲתֹנוֹ,'tnv,,,,
49:11,כִּבֵּס,khvs,,,,
49:11,בַּיַּיִן,yayin,H3196,wine,ద్రాక్షారసము,noun
49:11,לְבֻשׁוֹ,lvshv,,,,
49:11,וּבְדַם,dam,H1818,figuratively bloodshed,,noun
49:11,עֲנָבִים,'nvym,,,,
49:11,*סותה,svth,,,,
49:11,**סוּתוֹ,svtv,,,,
49:12,חַכְלִילִי,chkhlyly,,,,
49:12,עֵינַיִם,eynayim,H5869,eyes,కళ్ళు,noun
49:12,מִיָּיִן,yayin,H3196,wine,ద్రాక్షారసము,noun
49:12,וּלְבֶן,laban,H3835,be white.,,verb
49:12,שִׁנַּיִם,shnym,,,,
49:12,מֵחָלָב,chelev,H2459,fat,కొవ్వు,noun
49:12,פ,f,,,,
49:13,זְבוּלֻן,Zevulun,H2074,Zebulun,జెబూలూను,noun proper
49:13,לְחוֹף,chvof,H2348,haven,,noun
49:13,יַמִּים,ymym,,,,
49:13,יִשְׁכֹּן,yshkhn,,,,
49:13,וְהוּא,hu,H1931,"he, it",అతడ,
49:13,לְחוֹף,chvof,H2348,haven,,noun
49:13,אֳנִיּוֹת,'nyvt,,,,
49:13,וְיַרְכָתוֹ,vyrkhtv,,,,
49:13,עַל,al,H5921,"upon, over",మీద,preposition
49:13,צִידֹן,tsydn,,,,
49:13,ס,s,,,,
49:14,יִשָּׂשכָר,yshshkhr,,,,
49:14,חֲמֹר,chmr,,,,
49:14,גָּרֶם,grm,,,,
49:14,רֹבֵץ,rvts,,,,
49:14,בֵּין,beyn,H996,either...or,,preposition
49:14,הַמִּשְׁפְּתָיִם,sefatayim,H8193,lips,పెదవులు,noun
49:15,וַיַּרְא,yare,H3372,fear,భయపడు,verb
49:15,מְנֻחָה,nachah,H5148,or as colonists),,verb
49:15,כִּי,khiy,H3588,antecedent or consequent],,conjunction
49:15,טוֹב,tov,H2896,good,మంచి,adjective
49:15,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
49:15,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
49:15,כִּי,khiy,H3588,antecedent or consequent],,conjunction
49:15,נָעֵמָה,n'mh,,,,
49:15,וַיֵּט,vyt,,,,
49:15,שִׁכְמוֹ,kemo,H3644,"like, as",వలె,verb
49:15,לִסְבֹּל,sabal,H5445,specifically,,verb
49:15,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
49:15,לְמַס,mas,H4523,i.e. disconsolate,,adjective
49:15,עֹבֵד,'vd,,,,
49:15,ס,s,,,,
49:16,דָּן,dan,H1835,also the tribe descended from him,,noun proper
49:16,יָדִין,ydyn,,,,
49:16,עַמּוֹ,'mv,,,,
49:16,כְּאַחַד,'achad,H258,to unify,,verb
49:16,שִׁבְטֵי,shvty,,,,
49:16,יִשְׂרָאֵל,yshr'l,,,,
49:17,יְהִי,yehi,H1961,let there be,అగుగాక,verb
49:17,דָן,dn,,,,
49:17,נָחָשׁ,nachash,H5175,serpent,సర్పము,noun
49:17,עֲלֵי,'ly,,,,
49:17,דֶרֶךְ,drkh,,,,
49:17,שְׁפִיפֹן,shfyfn,,,,
49:17,עֲלֵי,'ly,,,,
49:17,אֹרַח,'rch,,,,
49:17,הַנֹּשֵׁךְ,nashakh,H5391,lend upon usury.,,verb
49:17,עִקְּבֵי,'qvy,,,,
49:17,סוּס,sus,H5483,horse,గుఱ్ఱము,noun
49:17,וַיִּפֹּל,vyfl,,,,
49:17,רֹכְבוֹ,rkhvv,,,,
49:17,אָחוֹר,'chvr,,,,
49:18,לִישׁוּעָתְךָ,lyshv'tkh,,,,
49:18,קִוִּיתִי,qvyty,,,,
49:18,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
49:19,גָּד,gad,H1410,also a prophet,,noun proper
49:19,גְּדוּד,gdvd,H1416,band,,noun
49:19,יְגוּדֶנּוּ,ygvdnv,,,,
49:19,וְהוּא,hu,H1931,"he, it",అతడ,
49:19,יָגֻד,ygd,,,,
49:19,עָקֵב,aqev,H6119,heel,మడమ,noun
49:19,ס,s,,,,
49:20,מֵאָשֵׁר,'asher,H834,when,,pronoun reflexive
49:20,שְׁמֵנָה,manah,H4490,of food) a ration,,noun
49:20,לַחְמוֹ,lchmv,,,,
49:20,וְהוּא,hu,H1931,"he, it",అతడ,
49:20,יִתֵּן,ytn,,,,
49:20,מַעֲדַנֵּי,m'dny,,,,
49:20,מֶלֶךְ,melekh,H4428,king of,రాజు,noun
49:20,ס,s,,,,
49:21,נַפְתָּלִי,nftly,,,,
49:21,אַיָּלָה,'ylh,,,,
49:21,שְׁלֻחָה,shlchh,,,,
49:21,הַנֹּתֵן,natan,H5414,give,ఇచ్చు,verb
49:21,אִמְרֵי,'mry,,,,
49:21,שָׁפֶר,shfr,,,,
49:21,ס,s,,,,
49:22,בֵּן,ben,H1122,an Israelite,,noun proper
49:22,פֹּרָת,frt,,,,
49:22,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
49:22,בֵּן,ben,H1122,an Israelite,,noun proper
49:22,פֹּרָת,frt,,,,
49:22,עֲלֵי,'ly,,,,
49:22,עָיִן,'yn,,,,
49:22,בָּנוֹת,vnvt,,,,
49:22,צָעֲדָה,ts'dh,,,,
49:22,עֲלֵי,'ly,,,,
49:22,שׁוּר,Shur,H7793,Shur,షూరు,noun location
49:23,וַיְמָרֲרֻהוּ,vymrrhv,,,,
49:23,וָרֹבּוּ,vrvv,,,,
49:23,וַיִּשְׂטְמֻהוּ,vyshtmhv,,,,
49:23,בַּעֲלֵי,'eliy,H5940,a pestle,,noun
49:23,חִצִּים,chtsym,,,,
49:24,וַתֵּשֶׁב,teshev,H3427,you will sit,నవ కరచదవ,verb
49:24,בְּאֵיתָן,'eytan,H387,the name of four Israelites,,noun proper
49:24,קַשְׁתּוֹ,qshtv,,,,
49:24,וַיָּפֹזּוּ,vyfzv,,,,
49:24,זְרֹעֵי,zr'y,,,,
49:24,יָדָיו,ydyv,,,,
49:24,מִידֵי,mydy,,,,
49:24,אֲבִיר,'vyr,,,,
49:24,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
49:24,מִשָּׁם,sham,H8033,or thence,,verb
49:24,רֹעֶה,roeh,H7462,shepherd,కాపరి,verb
49:24,אֶבֶן,even,H68,stone,రాయి,noun
49:24,יִשְׂרָאֵל,yshr'l,,,,
49:25,מֵאֵל,al,H408,not (imperative),వద్దు,verb
49:25,אָבִיךָ,'vykh,,,,
49:25,וְיַעְזְרֶךָּ,vy'zrkh,,,,
49:25,וְאֵת,et,H853,(object marker),-,particle unrepresented in English
49:25,שַׁדַּי,shaday,H7706,the Almighty,సర్వశక్తిమంతుడు,noun
49:25,וִיבָרְכֶךָּ,vyvrkhkh,,,,
49:25,בִּרְכֹת,vrkht,,,,
49:25,שָׁמַיִם,mayim,H4325,waters,జలములు,noun
49:25,מֵעָל,al,H5921,"upon, over",మీద,preposition
49:25,בִּרְכֹת,vrkht,,,,
49:25,תְּהוֹם,thvm,,,,
49:25,רֹבֶצֶת,rvtst,,,,
49:25,תָּחַת,tcht,,,,
49:25,בִּרְכֹת,vrkht,,,,
49:25,שָׁדַיִם,shdym,,,,
49:26,בִּרְכֹת,vrkht,,,,
49:26,אָבִיךָ,'vykh,,,,
49:26,גָּבְרוּ,gvrv,,,,
49:26,עַל,al,H5921,"upon, over",మీద,preposition
49:26,בִּרְכֹת,vrkht,,,,
49:26,הוֹרַי,riy,H7377,i.e. a shower,,noun
49:26,עַד,ad,H5704,"until, as far as",వరకు,preposition
49:26,תַּאֲוַת,t'vt,,,,
49:26,גִּבְעֹת,gv't,,,,
49:26,עוֹלָם,olam,H5769,"forever, eternity",నిత్యము,noun
49:26,תִּהְיֶין‪[1]‬,thyyn,,,,
49:26,לְרֹאשׁ,rosh,H7218,head,తల,noun
49:26,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
49:26,וּלְקָדְקֹד,vlqdqd,,,,
49:26,נְזִיר,nzyr,,,,
49:27,בִּנְיָמִין,vnymyn,,,,
49:27,זְאֵב,zeev,H2061,wolf,తోడేలు,noun
49:27,יִטְרָף,ytrf,,,,
49:27,בַּבֹּקֶר,baqar,H1239,admire,,verb
49:27,יֹאכַל,yokhal,H398,he will eat,అతడు తినును,verb
49:27,עַד,ad,H5704,"until, as far as",వరకు,preposition
49:27,וְלָעֶרֶב,'arab,H6150,evening.,,verb
49:27,יְחַלֵּק,ychlq,,,,
49:27,שָׁלָל,shalal,H7998,spoil.,,noun
49:28,כָּל,khl,,,,
49:28,אֵלֶּה,'eleh,H428,so,,pronoun demonstrative
49:28,שִׁבְטֵי,shvty,,,,
49:28,יִשְׂרָאֵל,yshr'l,,,,
49:28,שְׁנֵים,shnym,,,,
49:28,עָשָׂר,'ashar,H6240,-teenth,,noun
49:28,וְזֹאת,zot,H2063,this (fem),ఇద,pronoun
49:28,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
49:28,דִּבֶּר,dvr,,,,
49:28,לָהֶם,ham,H1990,a region of Israel,,noun location
49:28,אֲבִיהֶם,avihem,H1,their father,వారి తండ్రి,noun
49:28,וַיְבָרֶךְ,vayvarekh,H1288,and blessed,ఆశీర్వదించెను,verb
49:28,אוֹתָם,'vtm,,,,
49:28,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
49:28,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
49:29,וַיְצַו,vayetsav,H6680,and commanded,ఆజ్ఞాపించెను,verb
49:29,אוֹתָם,'vtm,,,,
49:29,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
49:29,אֲלֵהֶם,'lhm,,,,
49:29,אֲנִי,'aniy,H589,me,,personal pronoun
49:29,נֶאֱסָף,n'sf,,,,
