Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
21:1,וַיהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
21:1,פָּקַד,paqad,H6485,muster,,verb
21:1,אֶת,'t,,,,
21:1,שָׂרָה,sharah,H8283,Abraham's wife,,noun proper
21:1,כַּאֲשֶׁר,'asher,H834,when,,pronoun reflexive
21:1,אָמָר,'mr,,,,
21:1,וַיַּעַשׂ,vy'sh,,,,
21:1,יְהוָה,YHWH,H3068,LORD (Yahweh),యెహోవా,noun proper
21:1,לְשָׂרָה,sharah,H8283,Abraham's wife,,noun proper
21:1,כַּאֲשֶׁר,'asher,H834,when,,pronoun reflexive
21:1,דִּבֵּר,dvr,,,,
21:2,וַתַּהַר,vthr,,,,
21:2,וַתֵּלֶד,vtld,,,,
21:2,שָׂרָה,sharah,H8283,Abraham's wife,,noun proper
21:2,לְאַבְרָהָם,'abraham,H85,the later name of Abram,సమూహమునకు తండ్రి,noun proper
21:2,בֵּן,ben,H1122,an Israelite,,noun proper
21:2,לִזְקֻנָיו,lzqnyv,,,,
21:2,לַמּוֹעֵד,mvo'ad,H4151,an assembly,,noun
21:2,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
21:2,דִּבֶּר,dvr,,,,
21:2,אֹתוֹ,'tv,,,,
21:2,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
21:3,וַיִּקְרָא,vyqr',,,,
21:3,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
21:3,אֶת,'t,,,,
21:3,שֶׁם,shm,,,,
21:3,בְּנוֹ,vnv,,,,
21:3,הַנּוֹלַד,nolad,H3205,was born,పుట్టెను,verb
21:3,לוֹ,lv,,,,
21:3,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
21:3,יָלְדָה,yldh,,,,
21:3,לּוֹ,lv,,,,
21:3,שָׂרָה,sharah,H8283,Abraham's wife,,noun proper
21:3,יִצְחָק,Yitschaq,H3327,Isaac,ఇస్సాకు,noun proper
21:4,וַיָּמָל,vyml,,,,
21:4,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
21:4,אֶת,'t,,,,
21:4,יִצְחָק,Yitschaq,H3327,Isaac,ఇస్సాకు,noun proper
21:4,בְּנוֹ,vnv,,,,
21:4,בֶּן,vn,,,,
21:4,שְׁמֹנַת,mnat,H4521,law or providence),,noun
21:4,יָמִים,yamim,H3117,days,దినములు,noun
21:4,כַּאֲשֶׁר,'asher,H834,when,,pronoun reflexive
21:4,צִוָּה,tsvh,,,,
21:4,אֹתוֹ,'tv,,,,
21:4,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
21:5,וְאַבְרָהָם,'abraham,H85,the later name of Abram,సమూహమునకు తండ్రి,noun proper
21:5,בֶּן,vn,,,,
21:5,מְאַת,et,H853,(object marker),-,particle unrepresented in English
21:5,שָׁנָה,shanah,H8138,transitive or intransitive) to transmute,,verb
21:5,בְּהִוָּלֶד,valad,H2056,a boy,,noun
21:5,לוֹ,lv,,,,
21:5,אֵת,et,H853,(object marker),-,particle unrepresented in English
21:5,יִצְחָק,Yitschaq,H3327,Isaac,ఇస్సాకు,noun proper
21:5,בְּנוֹ,vnv,,,,
21:6,וַתֹּאמֶר,tomar,H559,you/she will say,చపపన,verb
21:6,שָׂרָה,sharah,H8283,Abraham's wife,,noun proper
21:6,צְחֹק,tschq,,,,
21:6,עָשָׂה,'ashah,H6213,in the broadest sense and widest application,విస్తృతమైన అర్థంలో మరియు విస్తృతమైన అప్లికేషన్ (క్రింది విధంగా),verb
21:6,לִי,ly,,,,
21:6,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
21:6,כָּל,khl,,,,
21:6,הַשֹּׁמֵעַ,shama',H8085,causatively,"తెలివిగా వినడానికి (తరచుగా శ్రద్ధ, విధేయత మొదలైన వాటితో; కారణం, చెప్పడం మొదలైనవి)",verb
21:6,יִצְחַק,ytschq,,,,
21:6,לִי,ly,,,,
21:7,וַתֹּאמֶר,tomar,H559,you/she will say,చపపన,verb
21:7,מִי,mi,H4310,who?,ఎవరు?,interrogative
21:7,מִלֵּל,mll,,,,
21:7,לְאַבְרָהָם,'abraham,H85,the later name of Abram,సమూహమునకు తండ్రి,noun proper
21:7,הֵינִיקָה,yniyqah,H3242,a sucker or sapling,,noun
21:7,בָנִים,vnym,,,,
21:7,שָׂרָה,sharah,H8283,Abraham's wife,,noun proper
21:7,כִּי,khiy,H3588,antecedent or consequent],,conjunction
21:7,יָלַדְתִּי,yldty,,,,
21:7,בֵן,vn,,,,
21:7,לִזְקֻנָיו,lzqnyv,,,,
21:8,וַיִּגְדַּל,vygdl,,,,
21:8,הַיֶּלֶד,yalad,H3205,give birth,కను,verb
21:8,וַיִּגָּמַל,vygml,,,,
21:8,וַיַּעַשׂ,vy'sh,,,,
21:8,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
21:8,מִשְׁתֶּה,shatah,H8356,i.e. political or moral support,,noun
21:8,גָדוֹל,gdvl,,,,
21:8,בְּיוֹם,yom,H3117,day,దినము,noun
21:8,הִגָּמֵל,gamal,H1580,,,verb
21:8,אֶת,'t,,,,
21:8,יִצְחָק,Yitschaq,H3327,Isaac,ఇస్సాకు,noun proper
21:9,וַתֵּרֶא,vtr',,,,
21:9,שָׂרָה,sharah,H8283,Abraham's wife,,noun proper
21:9,אֶת,'t,,,,
21:9,בֶּן,vn,,,,
21:9,הָגָר,Hagar,H1904,Hagar,హాగరు,noun proper
21:9,הַמִּצְרִית,hmtsryt,,,,
21:9,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
21:9,יָלְדָה,yldh,,,,
21:9,לְאַבְרָהָם,'abraham,H85,the later name of Abram,సమూహమునకు తండ్రి,noun proper
21:9,מְצַחֵק,tsachaq,H6711,mock,,verb
21:10,וַתֹּאמֶר,tomar,H559,you/she will say,చపపన,verb
21:10,לְאַבְרָהָם,'abraham,H85,the later name of Abram,సమూహమునకు తండ్రి,noun proper
21:10,גָּרֵשׁ,grsh,,,,
21:10,הָאָמָה,amah,H519,female servant,దాసి,noun
21:10,הַזֹּאת,zot,H2063,this (fem),ఇద,pronoun
21:10,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
21:10,בְּנָהּ,vnh,,,,
21:10,כִּי,khiy,H3588,antecedent or consequent],,conjunction
21:10,לֹא,lo,H3808,not,కాదు,verb
21:10,יִירַשׁ,yyrsh,,,,
21:10,בֶּן,vn,,,,
21:10,הָאָמָה,amah,H519,female servant,దాసి,noun
21:10,הַזֹּאת,zot,H2063,this (fem),ఇద,pronoun
21:10,עִם,im,H5973,with,తో,preposition
21:10,בְּנִי,niy,H5204,apparently from H5091],,noun
21:11,וַיֵּרַע,yara',H3415,to be broken up i.e. to fear,,verb
21:11,הַדָּבָר,dabar,H1696,but used figuratively,మాట్లాడు,verb
21:11,מְאֹד,meod,H3966,"very, exceedingly",మిక్కిలి,adjective
21:11,בְּעֵינֵי,v'yny,,,,
21:11,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
21:11,עַל,al,H5921,"upon, over",మీద,preposition
21:11,אוֹדֹת,'vdt,,,,
21:11,בְּנוֹ,vnv,,,,
21:12,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
21:12,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
21:12,אֶל,el,H413,"to, toward",వైపు,preposition
21:12,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
21:12,אַל,al,H408,not (imperative),వద్దు,verb
21:12,יֵרַע,yr',,,,
21:12,בְּעֵינֶיךָ,v'ynykh,,,,
21:12,עַל,al,H5921,"upon, over",మీద,preposition
21:12,הַנַּעַר,na'ar,H5287,through the idea of the rustling of mane,,verb
21:12,וְעַל,al,H5921,"upon, over",మీద,preposition
21:12,אֲמָתֶךָ,'mtkh,,,,
21:12,כֹּל,khl,,,,
21:12,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
21:12,תֹּאמַר,t'mr,,,,
21:12,אֵלֶיךָ,'lykh,,,,
21:13,וְגַם,gam,H1571,often repeated as correl. both...and,,verb
21:13,אֶת,'t,,,,
21:13,בֶּן,vn,,,,
