Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
33:1,וַיִּשָּׂא,vysh',,,,
33:1,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
33:1,עֵינָיו,'ynyv,,,,
33:1,וַיַּרְא,yare,H3372,fear,భయపడు,verb
33:1,וְהִנֵּה,henah,H2008,hither,,verb
33:1,עֵשָׂו,'eshav,H6215,a son of Isaac,,noun proper
33:1,בָּא,v',,,,
33:1,וְעִמּוֹ,immo,H5973,with him,అతనత,preposition
33:1,אַרְבַּע,'rv',,,,
33:1,מֵאוֹת,'vt,H225,to come,,verb
33:1,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
33:1,וַיַּחַץ,vychts,,,,
33:1,אֶת,'t,,,,
33:1,הַיְלָדִים,hyldym,,,,
33:1,עַל,al,H5921,"upon, over",మీద,preposition
33:2,וַיָּשֶׂם,yasham,H3455,to be placed,,verb
33:2,אֶת,'t,,,,
33:2,הַשְּׁפָחוֹת,hshfchvt,,,,
33:2,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
33:2,יַלְדֵיהֶן,yldyhn,,,,
33:2,רִאשֹׁנָה,r'shnh,,,,
33:2,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
33:2,לֵאָה,Leah,H3812,Leah,లేయా,noun proper
33:2,וִילָדֶיהָ,vyldyh,,,,
33:2,אַחֲרֹנִים,'chrnym,,,,
33:2,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
33:2,רָחֵל,Rachel,H7354,Rachel,రాహేలు,noun proper
33:2,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
33:2,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
33:2,אַחֲרֹנִים,'chrnym,,,,
33:3,וְהוּא,hu,H1931,"he, it",అతడ,
33:3,עָבַר,avar,H5674,pass over,దాటు,verb
33:3,לִפְנֵיהֶם,lifneihem,H6440,before them,వారిముందు,noun
33:3,וַיִּשְׁתַּחוּ,vyshtchv,,,,
33:3,אַרְצָה,'rtsh,,,,
33:3,שֶׁבַע,sheba',H7652,the name of a place in Israel,,noun location
33:3,פְּעָמִים,f'mym,,,,
33:3,עַד,ad,H5704,"until, as far as",వరకు,preposition
33:3,גִּשְׁתּוֹ,gshtv,,,,
33:3,עַד,ad,H5704,"until, as far as",వరకు,preposition
33:3,אָחִיו,'chyv,,,,
33:4,וַיָּרָץ,vyrts,,,,
33:4,עֵשָׂו,'eshav,H6215,a son of Isaac,,noun proper
33:4,לִקְרָאתוֹ,lqr'tv,,,,
