Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
23:1,וַיִּהְיוּ,yihyu,H1961,let them be,అగుదురుగాక,verb
23:1,חַיֵּי,chyy,,,,
23:1,שָׂרָה,sharah,H8283,Abraham's wife,,noun proper
23:1,מֵאָה,meah,H3967,hundred,వంద,noun
23:1,שָׁנָה,shanah,H8138,transitive or intransitive) to transmute,,verb
23:1,וְעֶשְׂרִים,'eshriym,H6242,twenty.,,noun
23:1,שָׁנָה,shanah,H8138,transitive or intransitive) to transmute,,verb
23:1,וְשֶׁבַע,shaba',H7647,plenteous.,,noun
23:1,שָׁנִים,shnym,,,,
23:1,שְׁנֵי,niy,H5204,apparently from H5091],,noun
23:1,חַיֵּי,chyy,,,,
23:1,שָׂרָה,sharah,H8283,Abraham's wife,,noun proper
23:2,וַתָּמָת,vtmt,,,,
23:2,שָׂרָה,sharah,H8283,Abraham's wife,,noun proper
23:2,בְּקִרְיַת,vqryt,,,,
23:2,אַרְבַּע,'rv',,,,
23:2,הִוא,hv',,,,
23:2,חֶבְרוֹן,Chevron,H2275,Hebron,హెబ్రోను,noun location
23:2,בְּאֶרֶץ,erets,H776,"land, earth",భూమి,noun
23:2,כְּנָעַן,khn'n,,,,
23:2,וַיָּבֹא,yavo,H935,he will come,అతడ వచచన,verb
23:2,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
23:2,לִסְפֹּד,safad,H5594,mourn,రోదించు,verb
23:2,לְשָׂרָה,sharah,H8283,Abraham's wife,,noun proper
23:2,וְלִבְכֹּתָהּ,vlvkhth,,,,
23:3,וַיָּקָם,vyqm,,,,
23:3,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
23:3,מֵעַל,al,H5921,"upon, over",మీద,preposition
23:3,פְּנֵי,fny,,,,
23:3,מֵתוֹ,tav,H8420,mark.,,noun
23:3,וַיְדַבֵּר,vydvr,,,,
23:3,אֶל,el,H413,"to, toward",వైపు,preposition
23:3,בְּנֵי,niy,H5204,apparently from H5091],,noun
23:3,חֵת,Chet,H2845,Heth,హేతు,noun proper
23:3,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
23:4,גֵּר,gr,,,,
23:4,וְתוֹשָׁב,vtvshv,,,,
23:4,אָנֹכִי,'nkhy,,,,
23:4,עִמָּכֶם,'mkhm,,,,
23:4,תְּנוּ,tnv,,,,
23:4,לִי,ly,,,,
23:4,אֲחֻזַּת,'chzt,,,,
23:4,קֶבֶר,qever,H6913,grave,సమాధి,noun
23:4,עִמָּכֶם,'mkhm,,,,
23:4,וְאֶקְבְּרָה,v'qvrh,,,,
23:4,מֵתִי,mty,,,,
23:4,מִלְּפָנָי,lipnay,H3942,anterior,,preposition
23:5,וַיַּעֲנוּ,vy'nv,,,,
23:5,בְנֵי,niy,H5204,apparently from H5091],,noun
23:5,חֵת,Chet,H2845,Heth,హేతు,noun proper
23:5,אֶת,'t,,,,
23:5,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
23:5,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
23:5,לוֹ,lv,,,,
23:6,שְׁמָעֵנוּ,shm'nv,,,,
23:6,אֲדֹנִי,adoni,H113,my lord,నా ప్రభువు,noun
23:6,נְשִׂיא,nshy',,,,
23:6,אֱלֹהִים,Elohim,H430,God (plural majesty),దేవుడు,noun
23:6,אַתָּה,'th,,,,
23:6,בְּתוֹכֵנוּ,vtvkhnv,,,,
23:6,בְּמִבְחַר,mibchar,H4006,an Israelite,,noun proper
23:6,קְבָרֵינוּ,qvrynv,,,,
23:6,קְבֹר,qvr,,,,
23:6,אֶת,'t,,,,
23:6,מֵתֶךָ,mtkh,,,,
23:6,אִישׁ,ish,H376,"man, husband",పురుషుడు,noun
23:6,מִמֶּנּוּ,mmnv,,,,
23:6,אֶת,'t,,,,
23:6,קִבְרוֹ,qvrv,,,,
23:7,וַיָּקָם,vyqm,,,,
23:7,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
23:7,וַיִּשְׁתַּחוּ,vyshtchv,,,,
23:7,לְעַם,am,H5971,"people, nation",ప్రజలు,noun
23:7,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
23:7,לִבְנֵי,baniy,H1137,the name of five Israelites,,noun proper
23:7,חֵת,Chet,H2845,Heth,హేతు,noun proper
23:8,וַיְדַבֵּר,vydvr,,,,
23:8,אִתָּם,'tm,,,,
23:8,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
23:8,אִם,im,H518,if,అయితే,particle
23:8,יֵשׁ,yesh,H3426,there is,ఉన్నది,substantive
23:8,אֶת,'t,,,,
23:8,נַפְשְׁכֶם,nfshkhm,,,,
23:8,לִקְבֹּר,qavar,H6912,bury,పాతిపెట్టు,verb
23:8,אֶת,'t,,,,
23:8,מֵתִי,mty,,,,
23:8,מִלְּפָנַי,lipnay,H3942,anterior,,preposition
23:8,שְׁמָעוּנִי,'vniy,H6042,the name of two Israelites,,noun proper
23:8,וּפִגְעוּ,vfg'v,,,,
23:8,לִי,ly,,,,
23:8,בְּעֶפְרוֹן,'eprvon,H6085,the name of a Canaanite and of two places in...,,noun location
23:9,וְיִתֶּן,yitten,H5414,he will give,అతడ ఇచచన,verb
23:9,לִי,ly,,,,
23:9,אֶת,'t,,,,
23:9,מְעָרַת,m'rt,,,,
23:9,הַמַּכְפֵּלָה,makhpelah,H4375,a place in Israel,,noun location
23:9,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
23:9,לוֹ,lv,,,,
23:9,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
23:9,בִּקְצֵה,qatsah,H7098,corner,,noun
23:9,שָׂדֵהוּ,shdhv,,,,
23:9,בְּכֶסֶף,khasaf,H3700,be greedy,,verb
23:9,מָלֵא,male',H4392,fill,,adjective
23:9,יִתְּנֶנָּה,ytnnh,,,,
23:9,לִי,ly,,,,
23:9,בְּתוֹכְכֶם,vtvkhkhm,,,,
23:10,וְעֶפְרוֹן,'eprvon,H6085,the name of a Canaanite and of two places in...,,noun location
23:10,יֹשֵׁב,yshv,,,,
23:10,בְּתוֹךְ,tavekh,H8432,X between,,noun
23:10,בְּנֵי,niy,H5204,apparently from H5091],,noun
23:10,חֵת,Chet,H2845,Heth,హేతు,noun proper
23:10,וַיַּעַן,yaan,H3282,because,ఎందుకంటే,preposition
23:10,עֶפְרוֹן,'frvn,,,,
23:10,הַחִתִּי,Chitti,H2850,Hittite,హతతయడ,noun
23:10,אֶת,'t,,,,
23:10,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
23:10,בְּאָזְנֵי,'azniy,H244,an Oznite,,noun proper
23:10,בְנֵי,niy,H5204,apparently from H5091],,noun
23:10,חֵת,Chet,H2845,Heth,హేతు,noun proper
23:10,לְכֹל,kol,H3605,"all, every",అంతయు,noun
23:10,בָּאֵי,'ay,H335,what,,verb
23:11,לֹא,lo,H3808,not,కాదు,verb
23:11,אֲדֹנִי,adoni,H113,my lord,నా ప్రభువు,noun
23:11,שְׁמָעֵנִי,'oniy,H6040,i.e. misery,,noun
23:11,הַשָּׂדֶה,shidah,H7705,musical instrument.,,noun
23:11,נָתַתִּי,ntty,,,,
23:11,לָךְ,lkh,,,,
23:11,וְהַמְּעָרָה,ma'areh,H4629,i.e. a common,,noun
23:11,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
23:11,בּוֹ,vv,,,,
23:11,לְךָ,lkh,,,,
23:11,נְתַתִּיהָ,nttyh,,,,
23:11,לְעֵינֵי,l'yny,,,,
23:11,בְנֵי,niy,H5204,apparently from H5091],,noun
23:11,עַמִּי,'my,,,,
23:11,נְתַתִּיהָ,nttyh,,,,
23:12,וַיִּשְׁתַּחוּ,vyshtchv,,,,
23:12,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
23:12,לִפְנֵי,lifney,H6440,before,ముందు,noun
23:12,עַם,am,H5971,"people, nation",ప్రజలు,noun
23:12,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
23:13,וַיְדַבֵּר,vydvr,,,,
23:13,אֶל,el,H413,"to, toward",వైపు,preposition
23:13,עֶפְרוֹן,'frvn,,,,
23:13,בְּאָזְנֵי,'azniy,H244,an Oznite,,noun proper
23:13,עַם,am,H5971,"people, nation",ప్రజలు,noun
23:13,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
23:13,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
23:13,אַךְ,akh,H389,"surely, but",నిజముగా,verb
23:13,אִם,im,H518,if,అయితే,particle
23:13,אַתָּה,'th,,,,
23:13,לוּ,lv,,,,
23:13,שְׁמָעֵנִי,'oniy,H6040,i.e. misery,,noun
23:13,נָתַתִּי,ntty,,,,
23:13,כֶּסֶף,khesef,H3701,price,,noun
23:13,הַשָּׂדֶה,shidah,H7705,musical instrument.,,noun
23:14,וַיַּעַן,yaan,H3282,because,ఎందుకంటే,preposition
23:14,עֶפְרוֹן,'frvn,,,,
23:14,אֶת,'t,,,,
23:14,אַבְרָהָם,Avraham,H85,Abraham,అబ్రాహాము,noun proper
23:14,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
23:14,לוֹ,lv,,,,
23:15,אֲדֹנִי,adoni,H113,my lord,నా ప్రభువు,noun
23:15,שְׁמָעֵנִי,'oniy,H6040,i.e. misery,,noun
23:15,אֶרֶץ,erets,H776,"land, earth",భూమి,noun
23:15,אַרְבַּע,'rv',,,,
23:15,מֵאֹת,et,H853,(object marker),-,particle unrepresented in English
23:15,שֶׁקֶל,sheqel,H8255,probably a weight,,noun
23:15,כֶּסֶף,khesef,H3701,price,,noun
23:15,בֵּינִי,vyny,,,,
23:15,וּבֵינְךָ,vvynkh,,,,
23:15,מַה,mh,,,,
23:15,הִוא,hv',,,,
23:15,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
23:15,מֵתְךָ,mtkh,,,,
23:15,קְבֹר,qvr,,,,
23:16,וַיִּשְׁמַע,yishma,H8085,he will hear,అతడ వనన,verb
