Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
47:1,וַיָּבֹא,yavo,H935,he will come,అతడ వచచన,verb
47:1,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
47:1,וַיַּגֵּד,vygd,,,,
47:1,לְפַרְעֹה,par'ah,H6546,concretely) leaders,,noun
47:1,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
47:1,אָבִי,'vy,,,,
47:1,וְאַחַי,'achiy,H277,the name of two Israelites,,noun proper
47:1,וְצֹאנָם,vts'nm,,,,
47:1,וּבְקָרָם,qaram,H7159,to cover,,verb
47:1,וְכָל,kol,H3605,"all, every",అంతయు,noun
47:1,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
47:1,לָהֶם,ham,H1990,a region of Israel,,noun location
47:1,בָּאוּ,o,H176,or,లద,conjunction
47:1,מֵאֶרֶץ,erets,H776,"land, earth",భూమి,noun
47:1,כְּנָעַן,khn'n,,,,
47:2,וּמִקְצֵה,qatsah,H7098,corner,,noun
47:2,אֶחָיו,'chyv,,,,
47:2,לָקַח,laqach,H3947,take,తీసుకొను,verb
47:2,חֲמִשָּׁה,chmshh,,,,
47:2,אֲנָשִׁים,'nshym,,,,
47:2,וַיַּצִּגֵם,vytsgm,,,,
47:2,לִפְנֵי,lifney,H6440,before,ముందు,noun
47:2,פַרְעֹה,fr'h,,,,
47:3,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
47:3,פַּרְעֹה,fr'h,,,,
47:3,אֶל,el,H413,"to, toward",వైపు,preposition
47:3,אֶחָיו,'chyv,,,,
47:3,מַה,mh,,,,
47:3,מַּעֲשֵׂיכֶם,m'shykhm,,,,
47:3,וַיֹּאמְרוּ,yomru,H559,they will say,వర చపపదర,verb
47:3,אֶל,el,H413,"to, toward",వైపు,preposition
47:3,פַּרְעֹה,fr'h,,,,
47:3,רֹעֵה,r'h,,,,
47:3,צֹאן,tson,H6629,"flock, sheep",మేకలు,noun
47:3,עֲבָדֶיךָ,'vdykh,,,,
47:3,גַּם,gam,H1571,often repeated as correl. both...and,,verb
47:3,אֲנַחְנוּ,'nchnv,,,,
47:3,גַּם,gam,H1571,often repeated as correl. both...and,,verb
47:4,וַיֹּאמְרוּ,yomru,H559,they will say,వర చపపదర,verb
47:4,אֶל,el,H413,"to, toward",వైపు,preposition
47:4,פַּרְעֹה,fr'h,,,,
47:4,לָגוּר,gvr,H1483,a place in Israel,,noun location
47:4,בָּאָרֶץ,erets,H776,"land, earth",భూమి,noun
47:4,בָּאנוּ,'anv,H580,we,,personal pronoun
47:4,כִּי,khiy,H3588,antecedent or consequent],,conjunction
47:4,אֵין,ayin,H369,there is not,లేదు,particle negative
47:4,מִרְעֶה,raah,H7462,"shepherd, tend",మేపు,verb
47:4,לַצֹּאן,tson,H6629,"flock, sheep",మేకలు,noun
47:4,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
47:4,לַעֲבָדֶיךָ,l'vdykh,,,,
47:4,כִּי,khiy,H3588,antecedent or consequent],,conjunction
47:4,כָבֵד,bad,H907,lie.,,noun
47:4,הָרָעָב,raev,H7456,be hungry,ఆకలిగొను,verb
47:5,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
47:5,פַּרְעֹה,fr'h,,,,
47:5,אֶל,el,H413,"to, toward",వైపు,preposition
47:5,יוֹסֵף,Yosef,H3130,Joseph,యోసేపు,noun proper
47:5,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
47:5,אָבִיךָ,'vykh,,,,
47:5,וְאַחֶיךָ,achikha,H251,your brother,నీ సోదరుడు,noun
47:5,בָּאוּ,o,H176,or,లద,conjunction
47:5,אֵלֶיךָ,'lykh,,,,
47:6,אֶרֶץ,erets,H776,"land, earth",భూమి,noun
47:6,מִצְרַיִם,Mitsrayim,H4714,Mizraim,మిస్రాయిము,adjective
47:6,לְפָנֶיךָ,lefanekha,H6440,before you,నీ ముందు,noun
47:6,הִוא,hv',,,,
47:6,בְּמֵיטַב,meytab,H4315,the best part,,noun
47:6,הָאָרֶץ,ha'aretz,H776,the earth,భూమి,noun
47:6,הוֹשֵׁב,shav,H7725,dwell,నివసించు,verb
47:6,אֶת,'t,,,,
47:6,אָבִיךָ,'vykh,,,,
47:6,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
47:6,אַחֶיךָ,'chykh,,,,
47:6,יֵשְׁבוּ,yshvv,,,,
47:6,בְּאֶרֶץ,erets,H776,"land, earth",భూమి,noun
47:6,גֹּשֶׁן,gshn,,,,
47:6,וְאִם,em,H517,mother,తల్లి,noun
