Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
36:1,וְאֵלֶּה,'alah,H423,a curse,,noun
36:1,תֹּלְדוֹת,tldvt,,,,
36:1,עֵשָׂו,'eshav,H6215,a son of Isaac,,noun proper
36:1,הוּא,hv',,,,
36:1,אֱדוֹם,'dvm,,,,
36:2,עֵשָׂו,'eshav,H6215,a son of Isaac,,noun proper
36:2,לָקַח,laqach,H3947,take,తీసుకొను,verb
36:2,אֶת,'t,,,,
36:2,נָשָׁיו,nshyv,,,,
36:2,מִבְּנוֹת,banot,H1323,daughters,కమరతల,noun
36:2,כְּנָעַן,khn'n,,,,
36:2,אֶת,'t,,,,
36:2,עָדָה,'adah,H5711,the name of two women,,noun proper
36:2,בַּת,bat,H1324,a bath or Hebrew measure of liquids,,noun
36:2,אֵילוֹן,'ylvn,,,,
36:2,הַחִתִּי,Chitti,H2850,Hittite,హతతయడ,noun
36:2,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
36:2,אָהֳלִיבָמָה,Oholivamah,H173,Oholibamah,ఒహలీబామా,noun proper
36:2,בַּת,bat,H1324,a bath or Hebrew measure of liquids,,noun
36:2,עֲנָה,Anah,H6034,Anah,అనా,noun proper
36:3,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
36:3,בָּשְׂמַת,mat,H4962,X friends,,noun
36:3,בַּת,bat,H1324,a bath or Hebrew measure of liquids,,noun
36:3,יִשְׁמָעֵאל,yshm''l,,,,
36:3,אֲחוֹת,'chvt,,,,
36:3,נְבָיוֹת,nvyvt,,,,
36:4,וַתֵּלֶד,vtld,,,,
36:4,עָדָה,'adah,H5711,the name of two women,,noun proper
36:4,לְעֵשָׂו,'eshav,H6215,a son of Isaac,,noun proper
36:4,אֶת,'t,,,,
36:4,אֱלִיפָז,Elifaz,H464,Eliphaz,ఎలీఫాజు,noun proper
36:4,וּבָשְׂמַת,bashmat,H1315,the name of a wife of Esau,,noun proper
36:4,יָלְדָה,yldh,,,,
36:4,אֶת,'t,,,,
36:4,רְעוּאֵל,Reuel,H7467,Reuel,రెయూయేలు,noun proper
36:5,וְאָהֳלִיבָמָה,'aholiybamah,H173,a wife of Esau,,noun proper
36:5,יָלְדָה,yldh,,,,
36:5,אֶת,'t,,,,
36:5,*יעיש,y'ysh,,,,
36:5,**יְעוּשׁ,y'vsh,,,,
