Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
43:1,וְהָרָעָב,raev,H7456,be hungry,ఆకలిగొను,verb
43:1,כָּבֵד,khabed,H3516,the liver,,noun
43:1,בָּאָרֶץ,erets,H776,"land, earth",భూమి,noun
43:2,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
43:2,כַּאֲשֶׁר,'asher,H834,when,,pronoun reflexive
43:2,כִּלּוּ,lo,H-,to him,అతనక,
43:2,לֶאֱכֹל,leekhol,H398,to eat,తినుటకు,verb
43:2,אֶת,'t,,,,
43:2,הַשֶּׁבֶר,sheber,H7664,expectation,,noun
43:2,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
43:2,הֵבִיאוּ,hvy'v,,,,
43:2,מִמִּצְרָיִם,mitsrayim,H4714,i.e. Upper and Lower Egypt,,adjective
43:2,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
43:2,אֲלֵיהֶם,aleihem,H413,to them,వారివద్దకు,preposition
43:2,אֲבִיהֶם,avihem,H1,their father,వారి తండ్రి,noun
43:2,שֻׁבוּ,shvv,,,,
43:2,שִׁבְרוּ,shvrv,,,,
43:2,לָנוּ,lnv,,,,
43:3,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
43:3,אֵלָיו,'lyv,,,,
43:3,יְהוּדָה,Yehudah,H3063,Judah,యూదా,noun proper
43:3,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
43:3,הָעֵד,ad,H5704,"until, as far as",వరకు,preposition
43:3,הֵעִד,ad,H5704,"until, as far as",వరకు,preposition
43:3,בָּנוּ,vnv,,,,
43:3,הָאִישׁ,haish,H376,the man,ఆ పురుషుడు,noun
43:3,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
43:3,לֹא,lo,H3808,not,కాదు,verb
43:3,תִרְאוּ,tr'v,,,,
43:3,פָנַי,fny,,,,
43:3,בִּלְתִּי,vlty,,,,
43:3,אֲחִיכֶם,'chykhm,,,,
43:3,אִתְּכֶם,'tkhm,,,,
43:4,אִם,im,H518,if,అయితే,particle
43:4,יֶשְׁךָ,yshkh,,,,
43:4,מְשַׁלֵּחַ,shalach,H7971,for,,verb
43:4,אֶת,'t,,,,
43:4,אָחִינוּ,'chynv,,,,
43:4,אִתָּנוּ,'tnv,,,,
43:4,נֵרְדָה,nrdh,,,,
43:4,וְנִשְׁבְּרָה,vnshvrh,,,,
43:4,לְךָ,lkh,,,,
43:4,אֹכֶל,'khl,,,,
43:5,וְאִם,em,H517,mother,తల్లి,noun
43:5,אֵינְךָ,'ynkh,,,,
43:5,מְשַׁלֵּחַ,shalach,H7971,for,,verb
43:5,לֹא,lo,H3808,not,కాదు,verb
43:5,נֵרֵד,nrd,,,,
43:5,כִּי,khiy,H3588,antecedent or consequent],,conjunction
43:5,הָאִישׁ,haish,H376,the man,ఆ పురుషుడు,noun
43:5,אָמַר,amar,H559,"say, speak",చెప్పు,verb
43:5,אֵלֵינוּ,'lynv,,,,
43:5,לֹא,lo,H3808,not,కాదు,verb
43:5,תִרְאוּ,tr'v,,,,
43:5,פָנַי,fny,,,,
43:5,בִּלְתִּי,vlty,,,,
43:5,אֲחִיכֶם,'chykhm,,,,
43:5,אִתְּכֶם,'tkhm,,,,
43:6,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
43:6,יִשְׂרָאֵל,yshr'l,,,,
43:6,לָמָה,mah,H4100,what?,ఏమి?,interrogative
43:6,הֲרֵעֹתֶם,hr'tm,,,,
43:6,לִי,ly,,,,
43:6,לְהַגִּיד,higgid,H5046,"tell, declare",చెప్పు,verb
43:6,לָאִישׁ,ish,H376,"man, husband",పురుషుడు,noun
43:6,הַעוֹד,'vd,H5749,to encompass,,verb
43:6,לָכֶם,lkhm,,,,
43:6,אָח,ach,H251,brother,సోదరుడు,noun
43:7,וַיֹּאמְרוּ,yomru,H559,they will say,వర చపపదర,verb
43:7,שָׁאוֹל,'vl,H193,by implication,,noun
43:7,שָׁאַל,al,H408,not (imperative),వద్దు,verb
43:7,הָאִישׁ,haish,H376,the man,ఆ పురుషుడు,noun
43:7,לָנוּ,lnv,,,,
43:7,וּלְמוֹלַדְתֵּנוּ,vlmvldtnv,,,,
43:7,לֵאמֹר,lemor,H559,saying,చెప్పుచు,verb
43:7,הַעוֹד,'vd,H5749,to encompass,,verb
43:7,אֲבִיכֶם,'vykhm,,,,
43:7,חַי,chay,H2416,"alive, living",జీవించు,adjective
43:7,הֲיֵשׁ,hayesh,H3426,is there?,ఉన్నదా?,substantive
